Year,SERIES,UNIT_MEASURE,Spol,Value
2009,SI_COV_PENSN,Procenat,Oba spola ili bez podjele po spolu,29.6
2001,SI_COV_UEMP,Procenat,Oba spola ili bez podjele po spolu,1.2
2005,SI_COV_UEMP,Procenat,Oba spola ili bez podjele po spolu,1.6
2007,SI_COV_UEMP,Procenat,Oba spola ili bez podjele po spolu,1.6
2009,SI_COV_UEMP,Procenat,Oba spola ili bez podjele po spolu,2.4
2010,SI_COV_UEMP,Procenat,Oba spola ili bez podjele po spolu,2.6
2011,SI_COV_UEMP,Procenat,Oba spola ili bez podjele po spolu,2.0
2007,SI_COV_LMKT,Procenat,,2.03118
2007,SI_COV_SOCAST,Procenat,,20.50947
2015,SI_COV_SOCAST,Procenat,,17.4175
2007,SI_COV_SOCINS,Procenat,,41.523790000000005
2015,SI_COV_SOCINS,Procenat,,40.16296
