Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2000,EN_MAT_DOMCMPC,Tone,Bez podjele,6.20325
2001,EN_MAT_DOMCMPC,Tone,Bez podjele,6.52651
2002,EN_MAT_DOMCMPC,Tone,Bez podjele,6.9893600000000005
2003,EN_MAT_DOMCMPC,Tone,Bez podjele,8.36171
2004,EN_MAT_DOMCMPC,Tone,Bez podjele,8.58584
2005,EN_MAT_DOMCMPC,Tone,Bez podjele,8.5121
2006,EN_MAT_DOMCMPC,Tone,Bez podjele,9.59811
2007,EN_MAT_DOMCMPC,Tone,Bez podjele,9.84437
2008,EN_MAT_DOMCMPC,Tone,Bez podjele,11.03524
2009,EN_MAT_DOMCMPC,Tone,Bez podjele,10.76953
2010,EN_MAT_DOMCMPC,Tone,Bez podjele,10.43052
2011,EN_MAT_DOMCMPC,Tone,Bez podjele,10.95079
2012,EN_MAT_DOMCMPC,Tone,Bez podjele,10.80053
2013,EN_MAT_DOMCMPC,Tone,Bez podjele,11.643939999999999
2014,EN_MAT_DOMCMPC,Tone,Bez podjele,11.99978
2015,EN_MAT_DOMCMPC,Tone,Bez podjele,12.87167
2016,EN_MAT_DOMCMPC,Tone,Bez podjele,13.46676
2017,EN_MAT_DOMCMPC,Tone,Bez podjele,14.03086
2000,EN_MAT_DOMCMPC,Tone,Biomasa,1.83865
2001,EN_MAT_DOMCMPC,Tone,Biomasa,1.9919099999999998
2002,EN_MAT_DOMCMPC,Tone,Biomasa,2.06105
2003,EN_MAT_DOMCMPC,Tone,Biomasa,1.64703
2004,EN_MAT_DOMCMPC,Tone,Biomasa,2.20122
2005,EN_MAT_DOMCMPC,Tone,Biomasa,2.2027099999999997
2006,EN_MAT_DOMCMPC,Tone,Biomasa,2.27674
2007,EN_MAT_DOMCMPC,Tone,Biomasa,2.07786
2008,EN_MAT_DOMCMPC,Tone,Biomasa,2.36453
2009,EN_MAT_DOMCMPC,Tone,Biomasa,2.2664299999999997
2010,EN_MAT_DOMCMPC,Tone,Biomasa,2.22894
2011,EN_MAT_DOMCMPC,Tone,Biomasa,2.25276
2012,EN_MAT_DOMCMPC,Tone,Biomasa,2.04753
2013,EN_MAT_DOMCMPC,Tone,Biomasa,2.41833
2014,EN_MAT_DOMCMPC,Tone,Biomasa,2.32517
2015,EN_MAT_DOMCMPC,Tone,Biomasa,2.33974
2016,EN_MAT_DOMCMPC,Tone,Biomasa,2.3835599999999997
2017,EN_MAT_DOMCMPC,Tone,Biomasa,2.42138
2000,EN_MAT_DOMCMPC,Tone,Ugalj,1.9587400000000001
2001,EN_MAT_DOMCMPC,Tone,Ugalj,1.9873900000000002
2002,EN_MAT_DOMCMPC,Tone,Ugalj,2.0589
2003,EN_MAT_DOMCMPC,Tone,Ugalj,2.23034
2004,EN_MAT_DOMCMPC,Tone,Ugalj,2.25743
2005,EN_MAT_DOMCMPC,Tone,Ugalj,2.3744400000000003
2006,EN_MAT_DOMCMPC,Tone,Ugalj,2.59746
2007,EN_MAT_DOMCMPC,Tone,Ugalj,2.54557
2008,EN_MAT_DOMCMPC,Tone,Ugalj,2.94266
2009,EN_MAT_DOMCMPC,Tone,Ugalj,3.1303400000000003
2010,EN_MAT_DOMCMPC,Tone,Ugalj,3.0542
2011,EN_MAT_DOMCMPC,Tone,Ugalj,3.5599
2012,EN_MAT_DOMCMPC,Tone,Ugalj,3.4430699999999996
2013,EN_MAT_DOMCMPC,Tone,Ugalj,3.41609
2014,EN_MAT_DOMCMPC,Tone,Ugalj,3.4500800000000003
2015,EN_MAT_DOMCMPC,Tone,Ugalj,3.87561
2016,EN_MAT_DOMCMPC,Tone,Ugalj,4.01914
2017,EN_MAT_DOMCMPC,Tone,Ugalj,4.15315
2000,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.33847
2001,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.43254
2002,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.49518999999999996
2003,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.30454000000000003
2004,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.54362
2005,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.52028
2006,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.5151399999999999
2007,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.38189
2008,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.52663
2009,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.5294300000000001
2010,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.43445
2011,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.43745
2012,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.34984
2013,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.48102
2014,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.43713
2015,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.44109
2016,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.44373
2017,EN_MAT_DOMCMPC,Tone,Ostaci usjeva,0.44522
2000,EN_MAT_DOMCMPC,Tone,Usjevi,0.78252
2001,EN_MAT_DOMCMPC,Tone,Usjevi,0.96035
2002,EN_MAT_DOMCMPC,Tone,Usjevi,0.91005
2003,EN_MAT_DOMCMPC,Tone,Usjevi,0.70382
2004,EN_MAT_DOMCMPC,Tone,Usjevi,1.16575
2005,EN_MAT_DOMCMPC,Tone,Usjevi,1.13724
2006,EN_MAT_DOMCMPC,Tone,Usjevi,1.0991
2007,EN_MAT_DOMCMPC,Tone,Usjevi,0.9999899999999999
2008,EN_MAT_DOMCMPC,Tone,Usjevi,1.12432
2009,EN_MAT_DOMCMPC,Tone,Usjevi,1.10228
2010,EN_MAT_DOMCMPC,Tone,Usjevi,1.02572
2011,EN_MAT_DOMCMPC,Tone,Usjevi,1.03314
2012,EN_MAT_DOMCMPC,Tone,Usjevi,0.9197700000000001
2013,EN_MAT_DOMCMPC,Tone,Usjevi,1.11168
2014,EN_MAT_DOMCMPC,Tone,Usjevi,1.11168
2015,EN_MAT_DOMCMPC,Tone,Usjevi,1.1031799999999998
2016,EN_MAT_DOMCMPC,Tone,Usjevi,1.12427
2017,EN_MAT_DOMCMPC,Tone,Usjevi,1.1425299999999998
2000,EN_MAT_DOMCMPC,Tone,Rude željeza,0.09637000000000001
2001,EN_MAT_DOMCMPC,Tone,Rude željeza,0.07
2002,EN_MAT_DOMCMPC,Tone,Rude željeza,0.23643000000000003
2003,EN_MAT_DOMCMPC,Tone,Rude željeza,0.07191
2004,EN_MAT_DOMCMPC,Tone,Rude željeza,0.09727000000000001
2005,EN_MAT_DOMCMPC,Tone,Rude željeza,0.51046
2006,EN_MAT_DOMCMPC,Tone,Rude željeza,0.54694
2007,EN_MAT_DOMCMPC,Tone,Rude željeza,0.5303
2008,EN_MAT_DOMCMPC,Tone,Rude željeza,0.64051
2009,EN_MAT_DOMCMPC,Tone,Rude željeza,0.62278
2010,EN_MAT_DOMCMPC,Tone,Rude željeza,0.22601
2011,EN_MAT_DOMCMPC,Tone,Rude željeza,0.28901
2012,EN_MAT_DOMCMPC,Tone,Rude željeza,0.26200999999999997
2013,EN_MAT_DOMCMPC,Tone,Rude željeza,0.36324
2014,EN_MAT_DOMCMPC,Tone,Rude željeza,0.3897
2015,EN_MAT_DOMCMPC,Tone,Rude željeza,0.42133000000000004
2016,EN_MAT_DOMCMPC,Tone,Rude željeza,0.45208999999999994
2017,EN_MAT_DOMCMPC,Tone,Rude željeza,0.4819
2000,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.3088
2001,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.31477
2002,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.37475
2003,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.53438
2004,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.62888
2005,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.73894
2006,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.98715
2007,EN_MAT_DOMCMPC,Tone,Fosilna goriva,2.96034
2008,EN_MAT_DOMCMPC,Tone,Fosilna goriva,3.40927
2009,EN_MAT_DOMCMPC,Tone,Fosilna goriva,3.6106800000000003
2010,EN_MAT_DOMCMPC,Tone,Fosilna goriva,3.54872
2011,EN_MAT_DOMCMPC,Tone,Fosilna goriva,3.54872
2012,EN_MAT_DOMCMPC,Tone,Fosilna goriva,4.07718
2013,EN_MAT_DOMCMPC,Tone,Fosilna goriva,3.9123
2014,EN_MAT_DOMCMPC,Tone,Fosilna goriva,3.8677300000000003
2015,EN_MAT_DOMCMPC,Tone,Fosilna goriva,4.32493
2016,EN_MAT_DOMCMPC,Tone,Fosilna goriva,4.48257
2017,EN_MAT_DOMCMPC,Tone,Fosilna goriva,4.62956
2000,EN_MAT_DOMCMPC,Tone,Prirodni gas,0.04529
2001,EN_MAT_DOMCMPC,Tone,Prirodni gas,0.0296
2002,EN_MAT_DOMCMPC,Tone,Prirodni gas,0.02797
