Year,SERIES,UNIT_MEASURE,Value
2000,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2010,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2015,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2016,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2017,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2018,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2019,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2020,AG_LND_FRSTBIOPHA,Hiljade hektara,156.36
2010,AG_LND_FRSTCHG,Procenat,-0.04
2015,AG_LND_FRSTCHG,Procenat,0.54
2020,AG_LND_FRSTCHG,Procenat,0.25
2000,AG_LND_FRSTCERT,Hiljade hektara,0.0
2005,AG_LND_FRSTCERT,Hiljade hektara,0.0
2010,AG_LND_FRSTCERT,Hiljade hektara,108.69200000000001
2015,AG_LND_FRSTCERT,Hiljade hektara,1496.115
2016,AG_LND_FRSTCERT,Hiljade hektara,1495.526
2017,AG_LND_FRSTCERT,Hiljade hektara,1532.625
2018,AG_LND_FRSTCERT,Hiljade hektara,1654.4589999999998
2019,AG_LND_FRSTCERT,Hiljade hektara,1768.0710000000001
