Year,SERIES,UNIT_MEASURE,Value
2002,DC_ODA_BDVL,CON_USD,0.85082
2003,DC_ODA_BDVL,CON_USD,0.38036
2004,DC_ODA_BDVL,CON_USD,4.59425
2005,DC_ODA_BDVL,CON_USD,0.6276
2006,DC_ODA_BDVL,CON_USD,1.7458200000000001
2007,DC_ODA_BDVL,CON_USD,0.8881399999999999
2008,DC_ODA_BDVL,CON_USD,3.65444
2009,DC_ODA_BDVL,CON_USD,4.51277
2010,DC_ODA_BDVL,CON_USD,12.36201
2011,DC_ODA_BDVL,CON_USD,1.1542700000000001
2012,DC_ODA_BDVL,CON_USD,2.69066
2013,DC_ODA_BDVL,CON_USD,1.2264700000000002
2014,DC_ODA_BDVL,CON_USD,1.52332
2015,DC_ODA_BDVL,CON_USD,0.72172
2016,DC_ODA_BDVL,CON_USD,4.0889999999999995
2017,DC_ODA_BDVL,CON_USD,19.06079
2018,DC_ODA_BDVL,CON_USD,11.49886
