Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2017,SG_INT_MBRDEV,Procenat,Ekonomsko i socijalno vijeće UN-a,1.85185
2000,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.54945
2005,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.54348
2010,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.53476
2015,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.53191
2016,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.53191
2017,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.5291
2018,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.5291
2019,SG_INT_MBRDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.529
2000,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.57471
2005,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.5618
2010,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.54945
2015,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.54348
2016,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.54348
2017,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.54348
2018,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.54348
2019,SG_INT_MBRDEV,Procenat,Međunarodna finansijska korporacija,0.5429999999999999
2000,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.5618
2005,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.5524899999999999
2010,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.54945
2015,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.53191
2016,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.53191
2017,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.5291
2018,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.5291
2019,SG_INT_MBRDEV,Procenat,Međunarodni monetarni fond,0.529
2000,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.5291
2005,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.52356
2010,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.52083
2015,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.51813
2016,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.51813
2017,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.51813
2018,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.51813
2019,SG_INT_MBRDEV,Procenat,Generalna skupština UN-a,0.518
2010,SG_INT_MBRDEV,Procenat,Vijeće sigurnosti UN-a,6.66667
2017,SG_INT_VRTDEV,Procenat,Ekonomsko i socijalno vijeće UN-a,1.85185
2000,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.04964
2005,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.04936
2010,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.049280000000000004
2015,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.05426
2016,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.05
2017,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.05703
2018,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.06366000000000001
2019,SG_INT_VRTDEV,Procenat,Međunarodna banka za obnovu i razvoj,0.06304
2000,SG_INT_VRTDEV,Procenat,Međunarodna finansijska korporacija,0.03623
