Year,Naziv prihoda,Value
2019 - 2020 Januar,Porez na dodanu vrijednost,102.68
2019 - 2020 Februar,Porez na dodanu vrijednost,108.04
2019 - 2020 Mart,Porez na dodanu vrijednost,99.23
2019 - 2020 April,Porez na dodanu vrijednost,76.73
2019 - 2020 Maj,Porez na dodanu vrijednost,69.59
2019 - 2020 Juni,Porez na dodanu vrijednost,93.0
2019 - 2020 Juli,Porez na dodanu vrijednost,98.56
2019 - 2020 August,Porez na dodanu vrijednost,84.9
2019 - 2020 Septembar,Porez na dodanu vrijednost,
2019 - 2020 Oktobar,Porez na dodanu vrijednost,
2019 - 2020 Novembar,Porez na dodanu vrijednost,
2019 - 2020 Decembar,Porez na dodanu vrijednost,
2019 - 2020 Januar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",102.24
2019 - 2020 Februar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",109.0
2019 - 2020 Mart,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",90.08
2019 - 2020 April,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",56.7
2019 - 2020 Maj,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",63.74
2019 - 2020 Juni,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",89.74
2019 - 2020 Juli,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",92.66
2019 - 2020 August,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",82.75
2019 - 2020 Septembar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
2019 - 2020 Oktobar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
2019 - 2020 Novembar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
2019 - 2020 Decembar,"Carinske dažbine, naknade za carinsko evidentiranje i posebne dažbine",
