Year,Series,Value
2001,Broj pothranjenih ljudi (milioni),0.1
2002,Broj pothranjenih ljudi (milioni),0.1
2003,Broj pothranjenih ljudi (milioni),0.1
2001,Rasprostranjenost podhranjenosti (%),3.2
2002,Rasprostranjenost podhranjenosti (%),3.1
2003,Rasprostranjenost podhranjenosti (%),2.7
2004,Rasprostranjenost podhranjenosti (%),2.5
2005,Rasprostranjenost podhranjenosti (%),2.5
2006,Rasprostranjenost podhranjenosti (%),2.5
2007,Rasprostranjenost podhranjenosti (%),2.5
2008,Rasprostranjenost podhranjenosti (%),2.5
2009,Rasprostranjenost podhranjenosti (%),2.5
2010,Rasprostranjenost podhranjenosti (%),2.5
2011,Rasprostranjenost podhranjenosti (%),2.5
2012,Rasprostranjenost podhranjenosti (%),2.5
2013,Rasprostranjenost podhranjenosti (%),2.5
2014,Rasprostranjenost podhranjenosti (%),2.5
2015,Rasprostranjenost podhranjenosti (%),2.5
2016,Rasprostranjenost podhranjenosti (%),2.5
2017,Rasprostranjenost podhranjenosti (%),2.5
2018,Rasprostranjenost podhranjenosti (%),2.5
