Year,Units,Value
2000,per 100000 live births,17
2001,per 100000 live births,16
2002,per 100000 live births,14
2003,per 100000 live births,14
2004,per 100000 live births,14
2005,per 100000 live births,13
2006,per 100000 live births,13
2007,per 100000 live births,13
2008,per 100000 live births,11
2009,per 100000 live births,11
2010,per 100000 live births,11
2011,per 100000 live births,10
2012,per 100000 live births,10
2013,per 100000 live births,10
2014,per 100000 live births,10
2015,per 100000 live births,10
2016,per 100000 live births,10
2017,per 100000 live births,10
