Year,SERIES,UNIT_MEASURE,Value
2000,DC_TOF_WASHL,Američki dolar,19.58084
2001,DC_TOF_WASHL,Američki dolar,38.82584
2002,DC_TOF_WASHL,Američki dolar,9.64236
2003,DC_TOF_WASHL,Američki dolar,13.74311
2004,DC_TOF_WASHL,Američki dolar,42.03058
2005,DC_TOF_WASHL,Američki dolar,20.24693
2006,DC_TOF_WASHL,Američki dolar,15.9279
2007,DC_TOF_WASHL,Američki dolar,16.63345
2008,DC_TOF_WASHL,Američki dolar,14.332189999999999
2009,DC_TOF_WASHL,Američki dolar,17.654629999999997
2010,DC_TOF_WASHL,Američki dolar,28.460990000000002
2011,DC_TOF_WASHL,Američki dolar,43.36911
2012,DC_TOF_WASHL,Američki dolar,43.072140000000005
2013,DC_TOF_WASHL,Američki dolar,37.56426
2014,DC_TOF_WASHL,Američki dolar,43.50735
2015,DC_TOF_WASHL,Američki dolar,69.22511999999999
2016,DC_TOF_WASHL,Američki dolar,69.22511999999999
2017,DC_TOF_WASHL,Američki dolar,49.60147
2018,DC_TOF_WASHL,Američki dolar,16.604770000000002
