Year,Value,UNIT_MEASURE,SERIES
2000,946.25,Američki dolar,DC_TRF_TOTL
2001,713.85,Američki dolar,DC_TRF_TOTL
2002,709.46,Američki dolar,DC_TRF_TOTL
2003,644.87,Američki dolar,DC_TRF_TOTL
2004,956.02667,Američki dolar,DC_TRF_TOTL
2005,731.17263,Američki dolar,DC_TRF_TOTL
2006,1195.74263,Američki dolar,DC_TRF_TOTL
2007,1280.61466,Američki dolar,DC_TRF_TOTL
2008,1294.87862,Američki dolar,DC_TRF_TOTL
2009,579.80176,Američki dolar,DC_TRF_TOTL
2010,935.87909,Američki dolar,DC_TRF_TOTL
2011,668.26576,Američki dolar,DC_TRF_TOTL
2012,1090.97392,Američki dolar,DC_TRF_TOTL
2013,985.5591800000001,Američki dolar,DC_TRF_TOTL
2014,551.3962,Američki dolar,DC_TRF_TOTL
2015,945.5898199999999,Američki dolar,DC_TRF_TOTL
2016,655.59926,Američki dolar,DC_TRF_TOTL
2017,1007.5807800000001,Američki dolar,DC_TRF_TOTL
2018,751.82054,Američki dolar,DC_TRF_TOTL
