Year,Value,UNIT_MEASURE,SERIES
2014,1108.73,Tone,Reciklaža elektronskog otpada (tone)
2015,1157.02,Tone,Reciklaža elektronskog otpada (tone)
2016,1197.58,Tone,Reciklaža elektronskog otpada (tone)
2017,1237.93,Tone,Reciklaža elektronskog otpada (tone)
2018,1271.2,Tone,Reciklaža elektronskog otpada (tone)
2019,1310.05,Tone,Reciklaža elektronskog otpada (tone)
2014,0.318407021497909,Kilogrami,"Reciklaža elektronskog otpada, po stanovniku (Kg)"
2015,0.337387641782932,Kilogrami,"Reciklaža elektronskog otpada, po stanovniku (Kg)"
2016,0.353658566094836,Kilogrami,"Reciklaža elektronskog otpada, po stanovniku (Kg)"
2017,0.36936262469663106,Kilogrami,"Reciklaža elektronskog otpada, po stanovniku (Kg)"
2018,0.382439398976331,Kilogrami,"Reciklaža elektronskog otpada, po stanovniku (Kg)"
2019,0.39686557974285297,Kilogrami,"Reciklaža elektronskog otpada, po stanovniku (Kg)"
2014,4.799937,Procenat,"Reciklaža elektronskog otpada, stopa (%)"
