Year,Units,Age,Sex,Value
2001,%,15+,,0.1
2001,%,15+,MALE,0.1
2001,%,15+,FEMALE,0.1
2001,%,15-24,,0.1
2001,%,15-24,MALE,0.1
2001,%,15-24,FEMALE,0.1
2001,%,25+,,0.1
2001,%,25+,MALE,0.1
2001,%,25+,FEMALE,0.1
2004,%,15+,,0.1
2004,%,15+,MALE,0.1
2004,%,15+,FEMALE,0.1
2004,%,15-24,,0.1
2004,%,15-24,MALE,0.1
2004,%,15-24,FEMALE,0.1
2004,%,25+,,0.1
2004,%,25+,MALE,0
2004,%,25+,FEMALE,0.1
2007,%,15+,,0
2007,%,15+,MALE,0
2007,%,15+,FEMALE,0
2007,%,15-24,,0
2007,%,15-24,MALE,0
2007,%,15-24,FEMALE,0
2007,%,25+,,0
2007,%,25+,MALE,0
2007,%,25+,FEMALE,0
2011,%,15+,,0
2011,%,15+,MALE,0
2011,%,15+,FEMALE,0
2011,%,15-24,,0
2011,%,15-24,MALE,0
2011,%,15-24,FEMALE,0
2011,%,25+,,0
2011,%,25+,MALE,0
2011,%,25+,FEMALE,50
