Year,Series,Units,Sex,Age,Value
2014,VC_HTF_DETVFL,NUMBER,FEMALE,<18Y,0.0
2015,VC_HTF_DETVFL,NUMBER,FEMALE,<18Y,0.0
2014,VC_HTF_DETVFL,NUMBER,MALE,<18Y,0.0
2015,VC_HTF_DETVFL,NUMBER,MALE,<18Y,0.0
2014,VC_HTF_DETVFL,NUMBER,FEMALE,18+,3.0
2015,VC_HTF_DETVFL,NUMBER,FEMALE,18+,0.0
2014,VC_HTF_DETVFL,NUMBER,MALE,18+,0.0
2015,VC_HTF_DETVFL,NUMBER,MALE,18+,0.0
2010,VC_HTF_DETVFL,NUMBER,FEMALE,ALL AGE,14.0
2011,VC_HTF_DETVFL,NUMBER,FEMALE,ALL AGE,4.0
2012,VC_HTF_DETVFL,NUMBER,FEMALE,ALL AGE,10.0
2014,VC_HTF_DETVFL,NUMBER,FEMALE,ALL AGE,3.0
2015,VC_HTF_DETVFL,NUMBER,FEMALE,ALL AGE,0.0
2010,VC_HTF_DETVFL,NUMBER,MALE,ALL AGE,3.0
2011,VC_HTF_DETVFL,NUMBER,MALE,ALL AGE,6.0
2012,VC_HTF_DETVFL,NUMBER,MALE,ALL AGE,3.0
2014,VC_HTF_DETVFL,NUMBER,MALE,ALL AGE,0.0
2015,VC_HTF_DETVFL,NUMBER,MALE,ALL AGE,0.0
2005,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2006,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2007,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2008,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2009,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2010,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2011,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2012,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,0.0
2014,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,18.0
2015,VC_HTF_DETVOP,NUMBER,FEMALE,<18Y,10.0
2005,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2006,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2007,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2008,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2009,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2010,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2011,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2012,VC_HTF_DETVOP,NUMBER,MALE,<18Y,0.0
2014,VC_HTF_DETVOP,NUMBER,MALE,<18Y,13.0
2015,VC_HTF_DETVOP,NUMBER,MALE,<18Y,3.0
2005,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2006,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2007,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2008,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2009,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2010,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2011,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2012,VC_HTF_DETVOP,NUMBER,FEMALE,18+,0.0
2014,VC_HTF_DETVOP,NUMBER,FEMALE,18+,4.0
2015,VC_HTF_DETVOP,NUMBER,FEMALE,18+,6.0
2005,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
2006,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
2007,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
2008,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
2009,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
2010,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
2011,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
2012,VC_HTF_DETVOP,NUMBER,MALE,18+,0.0
