Year,Series,Units,Type of speed,Value
2010,IT_NET_BB,PER 100 POPULATION,10MBPS,0.13
2011,IT_NET_BB,PER 100 POPULATION,10MBPS,0.20
2012,IT_NET_BB,PER 100 POPULATION,10MBPS,0.22
2013,IT_NET_BB,PER 100 POPULATION,10MBPS,2.03
2014,IT_NET_BB,PER 100 POPULATION,10MBPS,2.70
2015,IT_NET_BB,PER 100 POPULATION,10MBPS,3.58
2016,IT_NET_BB,PER 100 POPULATION,10MBPS,5.78
2017,IT_NET_BB,PER 100 POPULATION,10MBPS,9.05
2018,IT_NET_BB,PER 100 POPULATION,10MBPS,9.76
2010,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,7.21
2011,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,3.59
2012,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,2.79
2013,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,2.37
2014,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,1.36
2015,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,0.94
2016,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,0.94
2017,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,0.82
2018,IT_NET_BB,PER 100 POPULATION,256KT2MBPS,0.84
2010,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,3.21
2011,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,6.16
2012,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,8.28
2013,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,8.31
2014,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,11.52
2015,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,14.00
2016,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,12.85
2017,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,9.93
2018,IT_NET_BB,PER 100 POPULATION,2MT10MBPS,10.27
2000,IT_NET_BB,PER 100 POPULATION,ANYS,0.00
2001,IT_NET_BB,PER 100 POPULATION,ANYS,0.00
2002,IT_NET_BB,PER 100 POPULATION,ANYS,0.01
2003,IT_NET_BB,PER 100 POPULATION,ANYS,0.04
2004,IT_NET_BB,PER 100 POPULATION,ANYS,0.18
2005,IT_NET_BB,PER 100 POPULATION,ANYS,0.36
2006,IT_NET_BB,PER 100 POPULATION,ANYS,1.06
