custom.date,custom.covid_indicator_5_title,custom.value
2019-01,custom.total_index,100.1
2019-02,custom.total_index,100.2
2019-03,custom.total_index,99.1
2019-04,custom.total_index,100.4
2019-05,custom.total_index,100.2
2019-06,custom.total_index,99.2
2019-07,custom.total_index,100.4
2019-08,custom.total_index,99.9
2019-09,custom.total_index,99.5
2019-10,custom.total_index,
2019-11,custom.total_index,
2019-12,custom.total_index,
2019-01,custom.home_market,99.6
2019-02,custom.home_market,100.4
2019-03,custom.home_market,98.2
2019-04,custom.home_market,101.0
2019-05,custom.home_market,100.5
2019-06,custom.home_market,99.0
2019-07,custom.home_market,100.2
2019-08,custom.home_market,100.0
2019-09,custom.home_market,100.1
2019-10,custom.home_market,
2019-11,custom.home_market,
2019-12,custom.home_market,
2019-01,custom.non_home_market,100.8
2019-02,custom.non_home_market,100.1
2019-03,custom.non_home_market,100.6
2019-04,custom.non_home_market,99.5
2019-05,custom.non_home_market,99.7
2019-06,custom.non_home_market,99.4
2019-07,custom.non_home_market,100.9
2019-08,custom.non_home_market,99.7
2019-09,custom.non_home_market,98.5
2019-10,custom.non_home_market,
2019-11,custom.non_home_market,
2019-12,custom.non_home_market,
2020-01,custom.total_index,99.9
2020-02,custom.total_index,99.9
2020-03,custom.total_index,99.1
2020-04,custom.total_index,99.9
2020-05,custom.total_index,99.9
2020-06,custom.total_index,99.5
2020-07,custom.total_index,100.2
2020-08,custom.total_index,99.9
2020-09,custom.total_index,100.3
2020-10,custom.total_index,
2020-11,custom.total_index,
2020-12,custom.total_index,
2020-01,custom.home_market,100.0
2020-02,custom.home_market,100.0
2020-03,custom.home_market,98.5
2020-04,custom.home_market,99.6
2020-05,custom.home_market,99.7
2020-06,custom.home_market,99.7
2020-07,custom.home_market,100.0
2020-08,custom.home_market,99.9
2020-09,custom.home_market,100.3
2020-10,custom.home_market,
2020-11,custom.home_market,
2020-12,custom.home_market,
2020-01,custom.non_home_market,99.9
2020-02,custom.non_home_market,99.8
2020-03,custom.non_home_market,100.1
2020-04,custom.non_home_market,99.7
2020-05,custom.non_home_market,100.2
2020-06,custom.non_home_market,99.2
2020-07,custom.non_home_market,100.4
2020-08,custom.non_home_market,100.0
2020-09,custom.non_home_market,100.4
2020-10,custom.non_home_market,
2020-11,custom.non_home_market,
2020-12,custom.non_home_market,
,,
,,
