Year,Series,Units,Sex,Value
2000,SH_STA_POISN,PER 100000 POPULATION,BOTHSEX,1.2
2005,SH_STA_POISN,PER 100000 POPULATION,BOTHSEX,0.9
2010,SH_STA_POISN,PER 100000 POPULATION,BOTHSEX,0.7
2015,SH_STA_POISN,PER 100000 POPULATION,BOTHSEX,0.5
2016,SH_STA_POISN,PER 100000 POPULATION,BOTHSEX,0.5
2000,SH_STA_POISN,PER 100000 POPULATION,FEMALE,0.7
2005,SH_STA_POISN,PER 100000 POPULATION,FEMALE,0.6
2010,SH_STA_POISN,PER 100000 POPULATION,FEMALE,0.5
2015,SH_STA_POISN,PER 100000 POPULATION,FEMALE,0.4
2016,SH_STA_POISN,PER 100000 POPULATION,FEMALE,0.4
2000,SH_STA_POISN,PER 100000 POPULATION,MALE,1.7
2005,SH_STA_POISN,PER 100000 POPULATION,MALE,1.1
2010,SH_STA_POISN,PER 100000 POPULATION,MALE,0.9
2015,SH_STA_POISN,PER 100000 POPULATION,MALE,0.6
2016,SH_STA_POISN,PER 100000 POPULATION,MALE,0.6
