Year,Series,Units,Age,Sex,Value
2000,SH_PRV_SMOK,% (PERCENT),15+,BOTHSEX,46.3
2005,SH_PRV_SMOK,% (PERCENT),15+,BOTHSEX,43.7
2010,SH_PRV_SMOK,% (PERCENT),15+,BOTHSEX,41.4
2015,SH_PRV_SMOK,% (PERCENT),15+,BOTHSEX,39.6
2016,SH_PRV_SMOK,% (PERCENT),15+,BOTHSEX,39.1
2017,SH_PRV_SMOK,% (PERCENT),15+,BOTHSEX,38.7
2018,SH_PRV_SMOK,% (PERCENT),15+,BOTHSEX,38.3
2000,SH_PRV_SMOK,% (PERCENT),15+,FEMALE,35
2005,SH_PRV_SMOK,% (PERCENT),15+,FEMALE,33.4
2010,SH_PRV_SMOK,% (PERCENT),15+,FEMALE,32.1
2015,SH_PRV_SMOK,% (PERCENT),15+,FEMALE,31.1
2016,SH_PRV_SMOK,% (PERCENT),15+,FEMALE,30.7
2017,SH_PRV_SMOK,% (PERCENT),15+,FEMALE,30.5
2018,SH_PRV_SMOK,% (PERCENT),15+,FEMALE,30.2
2000,SH_PRV_SMOK,% (PERCENT),15+,MALE,57.7
2005,SH_PRV_SMOK,% (PERCENT),15+,MALE,54
2010,SH_PRV_SMOK,% (PERCENT),15+,MALE,50.7
2015,SH_PRV_SMOK,% (PERCENT),15+,MALE,48
2016,SH_PRV_SMOK,% (PERCENT),15+,MALE,47.5
2017,SH_PRV_SMOK,% (PERCENT),15+,MALE,46.9
2018,SH_PRV_SMOK,% (PERCENT),15+,MALE,46.3
