Year,Series,Units,Sex,Type of occupation,Value
2000,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,14.547
2001,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,14.499
2002,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,14.478
2003,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,14.776
2004,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,15.090
2005,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,15.332
2006,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,15.754
2007,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,16.429
2008,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,16.714
2009,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,17.380
2010,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,17.987
2011,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,18.794
2012,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,19.490
2013,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,20.355
2014,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,21.326
2015,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHYS,21.616
2000,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,1.013
2001,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.932
2002,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.990
2003,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.965
2004,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.978
2005,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.879
2006,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.916
2007,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.970
2008,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.964
2009,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,0.974
2010,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,1.001
2011,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,1.071
2012,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,1.171
2013,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,1.211
2014,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,1.266
2015,SH_MED_HEAWOR,'PER 10000 POPULATION,,PHAR,1.292
2000,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,44.687
2001,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,43.968
2002,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,44.664
2003,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,48.341
2004,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,48.093
2005,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,48.687
2006,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,49.394
2007,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,50.221
2008,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,51.898
2009,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,53.096
2010,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,54.867
2011,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,56.085
2012,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,58.921
2013,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,59.005
2014,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,61.319
2015,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,61.798
2016,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,54.726
2017,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,55.647
2018,SH_MED_HEAWOR,'PER 10000 POPULATION,,NURSMID,57.333
2000,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.933
2001,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.808
2002,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.825
2003,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.223
2004,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.918
2005,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.918
2006,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,2.045
2007,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.988
2008,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.795
2009,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,1.820
2010,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,2.151
2011,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,2.207
2012,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,2.427
2013,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,2.284
2014,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,2.369
2015,SH_MED_HEAWOR,'PER 10000 POPULATION,,DENT,2.400
2013,SH_MED_HWRKDIS,% (PERCENT),FEMALE,NURS,79.5
2014,SH_MED_HWRKDIS,% (PERCENT),FEMALE,NURS,78.2
2015,SH_MED_HWRKDIS,% (PERCENT),FEMALE,NURS,78.6
2016,SH_MED_HWRKDIS,% (PERCENT),FEMALE,NURS,78.2
2017,SH_MED_HWRKDIS,% (PERCENT),FEMALE,NURS,77.7
2018,SH_MED_HWRKDIS,% (PERCENT),FEMALE,NURS,77.5
2003,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,90.5
2004,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,91.5
2005,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,91.5
2006,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,90.4
2007,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,89.2
2008,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,89.5
2009,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,88.3
2010,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,88.8
2011,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,88.2
2012,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,87.9
2013,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,87.7
2015,SH_MED_HWRKDIS,% (PERCENT),FEMALE,PHYS,87.7
2013,SH_MED_HWRKDIS,% (PERCENT),MALE,NURS,20.5
2014,SH_MED_HWRKDIS,% (PERCENT),MALE,NURS,21.8
2015,SH_MED_HWRKDIS,% (PERCENT),MALE,NURS,21.4
2016,SH_MED_HWRKDIS,% (PERCENT),MALE,NURS,21.8
2017,SH_MED_HWRKDIS,% (PERCENT),MALE,NURS,22.3
2018,SH_MED_HWRKDIS,% (PERCENT),MALE,NURS,22.5
2003,SH_MED_HWRKDIS,% (PERCENT),MALE,PHYS,9.5
2004,SH_MED_HWRKDIS,% (PERCENT),MALE,PHYS,8.5
2005,SH_MED_HWRKDIS,% (PERCENT),MALE,PHYS,8.5
2006,SH_MED_HWRKDIS,% (PERCENT),MALE,PHYS,9.6
2007,SH_MED_HWRKDIS,% (PERCENT),MALE,PHYS,10.8
