Year,Series,Units,Education level,Quantile,Sex,Type of skill,Location,Value
2000,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,ALL AREA,1.00164
2006,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,ALL AREA,0.99919
2012,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,ALL AREA,1.00151
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q1,,,ALL AREA,0.91118
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q2,,,ALL AREA,1.10629
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q3,,,ALL AREA,1.02274
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q4,,,ALL AREA,0.96968
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q5,,,ALL AREA,1
2000,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,ALL AREA,1.00713
2006,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,ALL AREA,0.99829
2012,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,ALL AREA,1.00303
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q1,,,ALL AREA,0.99409
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q2,,,ALL AREA,1
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q3,,,ALL AREA,1.01929
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q4,,,ALL AREA,1
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q5,,,ALL AREA,1
2000,SE_AGP_CPRA,RATIO,UPPSEC,_T,,,ALL AREA,1.0333
2006,SE_AGP_CPRA,RATIO,UPPSEC,_T,,,ALL AREA,1.12687
2012,SE_AGP_CPRA,RATIO,UPPSEC,_T,,,ALL AREA,1.00844
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q1,,,ALL AREA,0.97794
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q2,,,ALL AREA,0.98184
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q3,,,ALL AREA,1.01683
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q4,,,ALL AREA,1.03215
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q5,,,ALL AREA,0.99224
2012,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,RURAL,1.00371
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q1,,,RURAL,0.96297
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q2,,,RURAL,1.08995
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q3,,,RURAL,1.02782
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q4,,,RURAL,0.94893
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q5,,,RURAL,0
2012,SE_AGP_CPRA,RATIO,PRIMAR,_T,,,RURAL,1.005
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q1,,,RURAL,0.99663
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q2,,,RURAL,1
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q3,,,RURAL,1.02204
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q4,,,RURAL,1
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q5,,,RURAL,1
2012,SE_AGP_CPRA,RATIO,UPPSEC,_T,,,RURAL,1.01019
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q1,,,RURAL,0.95803
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q2,,,RURAL,0.95574
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q3,,,RURAL,1.02983
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q4,,,RURAL,1.02649
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q5,,,RURAL,0
2012,SE_AGP_CPRA,RATIO,LOWSEC,_T,,,URBAN,0.99678
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q1,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q2,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q3,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q4,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,LOWSEC,Q5,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,PRIMAR,_T,,,URBAN,0.99838
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q1,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q2,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q3,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q4,,,URBAN,1
2012,SE_AGP_CPRA,RATIO,PRIMAR,Q5,,,URBAN,1
2012,SE_AGP_CPRA,RATIO,UPPSEC,_T,,,URBAN,1.00534
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q1,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q2,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q3,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q4,,,URBAN,0
2012,SE_AGP_CPRA,RATIO,UPPSEC,Q5,,,URBAN,0
2000,SE_ALP_CPLR,RATIO,LOWSEC,_T,BOTHSEX,,,0.97704
2006,SE_ALP_CPLR,RATIO,LOWSEC,_T,BOTHSEX,,,0.99838
2012,SE_ALP_CPLR,RATIO,LOWSEC,_T,BOTHSEX,,,0.98434
2012,SE_ALP_CPLR,RATIO,LOWSEC,_T,BOTHSEX,,,0
2012,SE_ALP_CPLR,RATIO,LOWSEC,_T,BOTHSEX,,,0
2012,SE_ALP_CPLR,RATIO,LOWSEC,Q1,BOTHSEX,,,0.98433
2012,SE_ALP_CPLR,RATIO,LOWSEC,Q1,BOTHSEX,,,0.97623
2012,SE_ALP_CPLR,RATIO,LOWSEC,Q1,BOTHSEX,,,1
