Year,Series,Units,Value
2005,EN_WBE_PMPN,KMSQ,196.802768
2006,EN_WBE_PMPN,KMSQ,199.240905
2007,EN_WBE_PMPN,KMSQ,198.621679
2008,EN_WBE_PMPN,KMSQ,195.98815
2009,EN_WBE_PMPN,KMSQ,196.755711
2010,EN_WBE_PMPN,KMSQ,195.980924
2011,EN_WBE_PMPN,KMSQ,194.373977
2012,EN_WBE_PMPN,KMSQ,192.717187
2013,EN_WBE_PMPN,KMSQ,191.539535
2014,EN_WBE_PMPN,KMSQ,194.156985
2015,EN_WBE_PMPN,KMSQ,196.933384
2016,EN_WBE_PMPN,KMSQ,198.21211
2017,EN_WBE_PMPN,KMSQ,200.734893
2018,EN_WBE_PMPN,KMSQ,203.146127
2005,EN_WBE_PMPR,% (PERCENT),0.384224244140625
2006,EN_WBE_PMPR,% (PERCENT),0.389043779296875
2007,EN_WBE_PMPR,% (PERCENT),0.38789293359375
2008,EN_WBE_PMPR,% (PERCENT),0.38274786328125
2009,EN_WBE_PMPR,% (PERCENT),0.384234142578125
2010,EN_WBE_PMPR,% (PERCENT),0.3827234375
2011,EN_WBE_PMPR,% (PERCENT),0.379595548828125
2012,EN_WBE_PMPR,% (PERCENT),0.376373689453125
2013,EN_WBE_PMPR,% (PERCENT),0.37407662890625
2014,EN_WBE_PMPR,% (PERCENT),0.37920499609375
2015,EN_WBE_PMPR,% (PERCENT),0.384627642578125
2016,EN_WBE_PMPR,% (PERCENT),0.387125658203125
2017,EN_WBE_PMPR,% (PERCENT),0.39205578515625
2018,EN_WBE_PMPR,% (PERCENT),0.39676751171875
2005,EN_WBE_PMNR,KMSQ,196.722813
2006,EN_WBE_PMNR,KMSQ,199.190415
2007,EN_WBE_PMNR,KMSQ,198.601182
2008,EN_WBE_PMNR,KMSQ,195.966906
2009,EN_WBE_PMNR,KMSQ,196.727881
2010,EN_WBE_PMNR,KMSQ,195.9544
2011,EN_WBE_PMNR,KMSQ,194.352921
2012,EN_WBE_PMNR,KMSQ,192.703329
2013,EN_WBE_PMNR,KMSQ,191.527234
2014,EN_WBE_PMNR,KMSQ,194.152958
2015,EN_WBE_PMNR,KMSQ,196.929353
2016,EN_WBE_PMNR,KMSQ,198.208337
2017,EN_WBE_PMNR,KMSQ,200.732562
2018,EN_WBE_PMNR,KMSQ,203.144966
