Year,Series,Units,Activity,Sex,Value
2006,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,89.54726
2007,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,90.8656
2008,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,91.24082
2009,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,91.19395
2010,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,90.3971
2011,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,90.55731
2012,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,90.81431
2013,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,90.94156
2014,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,89.75101
2015,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,89.99401
2016,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,89.89365
2017,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,90.06844
2018,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,88.36454
2019,SL_ISV_IFEM,% (PERCENT),ISIC4_A,BOTHSEX,91.25178
2006,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,24.64321
2007,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,23.75937
2008,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,21.15373
2009,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,18.33027
2010,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,18.12443
2011,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,16.32869
2012,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,18.90363
2013,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,17.68838
2014,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,16.82241
2015,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,17.1006
2016,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,17.47461
2017,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,19.11034
2018,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,18.33754
2019,SL_ISV_IFEM,% (PERCENT),NONAGR,BOTHSEX,17.14282
2006,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,37.97401
2007,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,37.05676
2008,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,35.5773
2009,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,33.79404
2010,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,32.35771
2011,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,30.88499
2012,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,33.68709
2013,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,31.50649
2014,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,29.27798
2015,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,30.1308
2016,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,30.47912
2017,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,32.50089
2018,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,29.34922
2019,SL_ISV_IFEM,% (PERCENT),TOTAL,BOTHSEX,30.45466
2006,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,95.62931
2007,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,97.29556
2008,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,96.10625
2009,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,96.27624
2010,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,95.90703
2011,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,96.64297
2012,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,96.13205
2013,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,95.96992
2014,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,93.96121
2015,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,95.00422
2016,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,96.69173
2017,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,96.09827
2018,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,95.64754
2019,SL_ISV_IFEM,% (PERCENT),ISIC4_A,FEMALE,96.74567
2006,SL_ISV_IFEM,% (PERCENT),NONAGR,FEMALE,18.89549
2007,SL_ISV_IFEM,% (PERCENT),NONAGR,FEMALE,16.87185
2008,SL_ISV_IFEM,% (PERCENT),NONAGR,FEMALE,15.72685
2009,SL_ISV_IFEM,% (PERCENT),NONAGR,FEMALE,12.81741
2010,SL_ISV_IFEM,% (PERCENT),NONAGR,FEMALE,14.30237
2011,SL_ISV_IFEM,% (PERCENT),NONAGR,FEMALE,12.00905
2012,SL_ISV_IFEM,% (PERCENT),NONAGR,FEMALE,13.17889
