Year,Series,Units,Type of product,Value
2000,EN_MAT_DOMCMPC,TONNES,ALP,6.20325
2001,EN_MAT_DOMCMPC,TONNES,ALP,6.52651
2002,EN_MAT_DOMCMPC,TONNES,ALP,6.98936
2003,EN_MAT_DOMCMPC,TONNES,ALP,8.36171
2004,EN_MAT_DOMCMPC,TONNES,ALP,8.58584
2005,EN_MAT_DOMCMPC,TONNES,ALP,8.5121
2006,EN_MAT_DOMCMPC,TONNES,ALP,9.59811
2007,EN_MAT_DOMCMPC,TONNES,ALP,9.84437
2008,EN_MAT_DOMCMPC,TONNES,ALP,11.03524
2009,EN_MAT_DOMCMPC,TONNES,ALP,10.76953
2010,EN_MAT_DOMCMPC,TONNES,ALP,10.43052
2011,EN_MAT_DOMCMPC,TONNES,ALP,10.95079
2012,EN_MAT_DOMCMPC,TONNES,ALP,10.80053
2013,EN_MAT_DOMCMPC,TONNES,ALP,11.64394
2014,EN_MAT_DOMCMPC,TONNES,ALP,11.99978
2015,EN_MAT_DOMCMPC,TONNES,ALP,12.87167
2016,EN_MAT_DOMCMPC,TONNES,ALP,13.46676
2017,EN_MAT_DOMCMPC,TONNES,ALP,14.03086
2000,EN_MAT_DOMCMPC,TONNES,BIM,1.83865
2001,EN_MAT_DOMCMPC,TONNES,BIM,1.99191
2002,EN_MAT_DOMCMPC,TONNES,BIM,2.06105
2003,EN_MAT_DOMCMPC,TONNES,BIM,1.64703
2004,EN_MAT_DOMCMPC,TONNES,BIM,2.20122
2005,EN_MAT_DOMCMPC,TONNES,BIM,2.20271
2006,EN_MAT_DOMCMPC,TONNES,BIM,2.27674
2007,EN_MAT_DOMCMPC,TONNES,BIM,2.07786
2008,EN_MAT_DOMCMPC,TONNES,BIM,2.36453
2009,EN_MAT_DOMCMPC,TONNES,BIM,2.26643
2010,EN_MAT_DOMCMPC,TONNES,BIM,2.22894
2011,EN_MAT_DOMCMPC,TONNES,BIM,2.25276
2012,EN_MAT_DOMCMPC,TONNES,BIM,2.04753
2013,EN_MAT_DOMCMPC,TONNES,BIM,2.41833
2014,EN_MAT_DOMCMPC,TONNES,BIM,2.32517
2015,EN_MAT_DOMCMPC,TONNES,BIM,2.33974
2016,EN_MAT_DOMCMPC,TONNES,BIM,2.38356
2017,EN_MAT_DOMCMPC,TONNES,BIM,2.42138
2000,EN_MAT_DOMCMPC,TONNES,COL,1.95874
2001,EN_MAT_DOMCMPC,TONNES,COL,1.98739
2002,EN_MAT_DOMCMPC,TONNES,COL,2.0589
2003,EN_MAT_DOMCMPC,TONNES,COL,2.23034
2004,EN_MAT_DOMCMPC,TONNES,COL,2.25743
2005,EN_MAT_DOMCMPC,TONNES,COL,2.37444
2006,EN_MAT_DOMCMPC,TONNES,COL,2.59746
2007,EN_MAT_DOMCMPC,TONNES,COL,2.54557
2008,EN_MAT_DOMCMPC,TONNES,COL,2.94266
2009,EN_MAT_DOMCMPC,TONNES,COL,3.13034
2010,EN_MAT_DOMCMPC,TONNES,COL,3.0542
2011,EN_MAT_DOMCMPC,TONNES,COL,3.5599
2012,EN_MAT_DOMCMPC,TONNES,COL,3.44307
2013,EN_MAT_DOMCMPC,TONNES,COL,3.41609
2014,EN_MAT_DOMCMPC,TONNES,COL,3.45008
2015,EN_MAT_DOMCMPC,TONNES,COL,3.87561
2016,EN_MAT_DOMCMPC,TONNES,COL,4.01914
2017,EN_MAT_DOMCMPC,TONNES,COL,4.15315
2000,EN_MAT_DOMCMPC,TONNES,CPR,0.33847
2001,EN_MAT_DOMCMPC,TONNES,CPR,0.43254
2002,EN_MAT_DOMCMPC,TONNES,CPR,0.49519
2003,EN_MAT_DOMCMPC,TONNES,CPR,0.30454
2004,EN_MAT_DOMCMPC,TONNES,CPR,0.54362
2005,EN_MAT_DOMCMPC,TONNES,CPR,0.52028
2006,EN_MAT_DOMCMPC,TONNES,CPR,0.51514
2007,EN_MAT_DOMCMPC,TONNES,CPR,0.38189
2008,EN_MAT_DOMCMPC,TONNES,CPR,0.52663
2009,EN_MAT_DOMCMPC,TONNES,CPR,0.52943
2010,EN_MAT_DOMCMPC,TONNES,CPR,0.43445
2011,EN_MAT_DOMCMPC,TONNES,CPR,0.43745
2012,EN_MAT_DOMCMPC,TONNES,CPR,0.34984
2013,EN_MAT_DOMCMPC,TONNES,CPR,0.48102
2014,EN_MAT_DOMCMPC,TONNES,CPR,0.43713
2015,EN_MAT_DOMCMPC,TONNES,CPR,0.44109
2016,EN_MAT_DOMCMPC,TONNES,CPR,0.44373
2017,EN_MAT_DOMCMPC,TONNES,CPR,0.44522
2000,EN_MAT_DOMCMPC,TONNES,CRO,0.78252
2001,EN_MAT_DOMCMPC,TONNES,CRO,0.96035
2002,EN_MAT_DOMCMPC,TONNES,CRO,0.91005
2003,EN_MAT_DOMCMPC,TONNES,CRO,0.70382
2004,EN_MAT_DOMCMPC,TONNES,CRO,1.16575
2005,EN_MAT_DOMCMPC,TONNES,CRO,1.13724
2006,EN_MAT_DOMCMPC,TONNES,CRO,1.0991
2007,EN_MAT_DOMCMPC,TONNES,CRO,0.99999
2008,EN_MAT_DOMCMPC,TONNES,CRO,1.12432
2009,EN_MAT_DOMCMPC,TONNES,CRO,1.10228
2010,EN_MAT_DOMCMPC,TONNES,CRO,1.02572
2011,EN_MAT_DOMCMPC,TONNES,CRO,1.03314
2012,EN_MAT_DOMCMPC,TONNES,CRO,0.91977
2013,EN_MAT_DOMCMPC,TONNES,CRO,1.11168
2014,EN_MAT_DOMCMPC,TONNES,CRO,1.07929
2015,EN_MAT_DOMCMPC,TONNES,CRO,1.10318
2016,EN_MAT_DOMCMPC,TONNES,CRO,1.12427
2017,EN_MAT_DOMCMPC,TONNES,CRO,1.14253
2000,EN_MAT_DOMCMPC,TONNES,FEO,0.09637
2001,EN_MAT_DOMCMPC,TONNES,FEO,0.07
2002,EN_MAT_DOMCMPC,TONNES,FEO,0.05615
2003,EN_MAT_DOMCMPC,TONNES,FEO,0.07191
2004,EN_MAT_DOMCMPC,TONNES,FEO,0.09727
2005,EN_MAT_DOMCMPC,TONNES,FEO,0.51046
2006,EN_MAT_DOMCMPC,TONNES,FEO,0.54694
2007,EN_MAT_DOMCMPC,TONNES,FEO,0.5303
2008,EN_MAT_DOMCMPC,TONNES,FEO,0.64051
2009,EN_MAT_DOMCMPC,TONNES,FEO,0.62278
2010,EN_MAT_DOMCMPC,TONNES,FEO,0.22601
