Year,Series,Units,Value
2005,DC_TOF_TRDCML,CON USD,113.76155
2006,DC_TOF_TRDCML,CON USD,196.89985
2007,DC_TOF_TRDCML,CON USD,154.94478
2008,DC_TOF_TRDCML,CON USD,134.03715
2009,DC_TOF_TRDCML,CON USD,212.13171
2010,DC_TOF_TRDCML,CON USD,232.27405
2011,DC_TOF_TRDCML,CON USD,225.82849
2012,DC_TOF_TRDCML,CON USD,218.08434
2013,DC_TOF_TRDCML,CON USD,448.30314
2014,DC_TOF_TRDCML,CON USD,525.51593
2015,DC_TOF_TRDCML,CON USD,78.26739
2016,DC_TOF_TRDCML,CON USD,62.93301
2017,DC_TOF_TRDCML,CON USD,206.46492
2018,DC_TOF_TRDCML,CON USD,171.81998
2006,DC_TOF_TRDDBML,CON USD,74.98621
2007,DC_TOF_TRDDBML,CON USD,88.84701
2008,DC_TOF_TRDDBML,CON USD,114.77843
2009,DC_TOF_TRDDBML,CON USD,99.74611
2010,DC_TOF_TRDDBML,CON USD,121.37097
2011,DC_TOF_TRDDBML,CON USD,290.97038
2012,DC_TOF_TRDDBML,CON USD,310.8811
2013,DC_TOF_TRDDBML,CON USD,245.7912
2014,DC_TOF_TRDDBML,CON USD,247.10757
2015,DC_TOF_TRDDBML,CON USD,155.02131
2016,DC_TOF_TRDDBML,CON USD,227.59102
2017,DC_TOF_TRDDBML,CON USD,229.27011
2018,DC_TOF_TRDDBML,CON USD,204.39546
