Year,Units,Age,Sex,Value
2001,%,15+,Total,0.1
2001,%,15+,Male,0.1
2001,%,15+,Female,0.1
2001,%,15-24,Total,0.1
2001,%,15-24,Male,0.1
2001,%,15-24,Female,0.1
2001,%,25+,Total,0.1
2001,%,25+,Male,0.1
2001,%,25+,Female,0.1
2004,%,15+,Total,0.1
2004,%,15+,Male,0.1
2004,%,15+,Female,0.1
2004,%,15-24,Total,0.1
2004,%,15-24,Male,0.1
2004,%,15-24,Female,0.1
2004,%,25+,Total,0.1
2004,%,25+,Male,0.0
2004,%,25+,Female,0.1
2007,%,15+,Total,0.0
2007,%,15+,Male,0.0
2007,%,15+,Female,0.0
2007,%,15-24,Total,0.0
2007,%,15-24,Male,0.0
2007,%,15-24,Female,0.0
2007,%,25+,Total,0.0
2007,%,25+,Male,0.0
2007,%,25+,Female,0.0
2011,%,15+,Total,0.0
2011,%,15+,Male,0.0
2011,%,15+,Female,0.0
2011,%,15-24,Total,0.0
2011,%,15-24,Male,0.0
2011,%,15-24,Female,0.0
2011,%,25+,Total,0.0
2011,%,25+,Male,0.0
2011,%,25+,Female,0.0
