Year,SERIES,UNIT_MEASURE,Value
2000,Red List Index,Index,0.9004700000000001
2001,Red List Index,Index,0.90038
2002,Red List Index,Index,0.90028
2003,Red List Index,Index,0.9002100000000001
2004,Red List Index,Index,0.9002399999999999
2005,Red List Index,Index,0.90028
2006,Red List Index,Index,0.90028
2007,Red List Index,Index,0.90035
2008,Red List Index,Index,0.9003899999999999
2009,Red List Index,Index,0.9004200000000001
2010,Red List Index,Index,0.90045
2011,Red List Index,Index,0.90049
2012,Red List Index,Index,0.9005299999999999
2013,Red List Index,Index,0.9005700000000001
2014,Red List Index,Index,0.9006200000000001
2015,Red List Index,Index,0.90064
2016,Red List Index,Index,0.9006700000000001
2017,Red List Index,Index,0.9007
2018,Red List Index,Index,0.90074
2019,Red List Index,Index,0.9008
2020,Red List Index,Index,0.90081
