Year,SERIES,UNIT_MEASURE,Value
2002,"Total official development assistance for biodiversity, by recipient countries",Constant USD,0.85082
2003,"Total official development assistance for biodiversity, by recipient countries",Constant USD,0.38036
2004,"Total official development assistance for biodiversity, by recipient countries",Constant USD,4.59425
2005,"Total official development assistance for biodiversity, by recipient countries",Constant USD,0.6276
2006,"Total official development assistance for biodiversity, by recipient countries",Constant USD,1.7458200000000001
2007,"Total official development assistance for biodiversity, by recipient countries",Constant USD,0.8881399999999999
2008,"Total official development assistance for biodiversity, by recipient countries",Constant USD,3.65444
2009,"Total official development assistance for biodiversity, by recipient countries",Constant USD,4.51277
2010,"Total official development assistance for biodiversity, by recipient countries",Constant USD,12.36201
2011,"Total official development assistance for biodiversity, by recipient countries",Constant USD,1.1542700000000001
2012,"Total official development assistance for biodiversity, by recipient countries",Constant USD,2.69066
2013,"Total official development assistance for biodiversity, by recipient countries",Constant USD,1.2264700000000002
2014,"Total official development assistance for biodiversity, by recipient countries",Constant USD,1.52332
2015,"Total official development assistance for biodiversity, by recipient countries",Constant USD,0.72172
2016,"Total official development assistance for biodiversity, by recipient countries",Constant USD,4.0889999999999995
2017,"Total official development assistance for biodiversity, by recipient countries",Constant USD,19.06079
2018,"Total official development assistance for biodiversity, by recipient countries",Constant USD,11.49886
