Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2000,Proportion of population practicing open defecation,Percent,Total,0.66104
2001,Proportion of population practicing open defecation,Percent,Total,0.59606
2002,Proportion of population practicing open defecation,Percent,Total,0.53138
2003,Proportion of population practicing open defecation,Percent,Total,0.46701000000000004
2004,Proportion of population practicing open defecation,Percent,Total,0.40296
2005,Proportion of population practicing open defecation,Percent,Total,0.33923000000000003
2006,Proportion of population practicing open defecation,Percent,Total,0.27581
2007,Proportion of population practicing open defecation,Percent,Total,0.21270999999999998
2008,Proportion of population practicing open defecation,Percent,Total,0.14993
2009,Proportion of population practicing open defecation,Percent,Total,0.08747
2010,Proportion of population practicing open defecation,Percent,Total,0.02532
2011,Proportion of population practicing open defecation,Percent,Total,0.0
2012,Proportion of population practicing open defecation,Percent,Total,0.0
2013,Proportion of population practicing open defecation,Percent,Total,0.0
2014,Proportion of population practicing open defecation,Percent,Total,0.0
2015,Proportion of population practicing open defecation,Percent,Total,0.0
2016,Proportion of population practicing open defecation,Percent,Total,0.0
2017,Proportion of population practicing open defecation,Percent,Total,0.0
2000,Proportion of population practicing open defecation,Percent,Rural,0.8729600000000001
2001,Proportion of population practicing open defecation,Percent,Rural,0.7882
2002,Proportion of population practicing open defecation,Percent,Rural,0.70343
2003,Proportion of population practicing open defecation,Percent,Rural,0.6186699999999999
2004,Proportion of population practicing open defecation,Percent,Rural,0.53391
2005,Proportion of population practicing open defecation,Percent,Rural,0.44914
2006,Proportion of population practicing open defecation,Percent,Rural,0.36438000000000004
2007,Proportion of population practicing open defecation,Percent,Rural,0.27960999999999997
2008,Proportion of population practicing open defecation,Percent,Rural,0.19485
2009,Proportion of population practicing open defecation,Percent,Rural,0.11009000000000001
2010,Proportion of population practicing open defecation,Percent,Rural,0.02532
2011,Proportion of population practicing open defecation,Percent,Rural,0.0
2012,Proportion of population practicing open defecation,Percent,Rural,0.0
2013,Proportion of population practicing open defecation,Percent,Rural,0.0
2014,Proportion of population practicing open defecation,Percent,Rural,0.0
2015,Proportion of population practicing open defecation,Percent,Rural,0.0
2016,Proportion of population practicing open defecation,Percent,Rural,0.0
2017,Proportion of population practicing open defecation,Percent,Rural,0.0
2000,Proportion of population practicing open defecation,Percent,Urban,0.37296
2001,Proportion of population practicing open defecation,Percent,Urban,0.3382
2002,Proportion of population practicing open defecation,Percent,Urban,0.30343000000000003
2003,Proportion of population practicing open defecation,Percent,Urban,0.26866999999999996
2004,Proportion of population practicing open defecation,Percent,Urban,0.23390999999999998
2005,Proportion of population practicing open defecation,Percent,Urban,0.19914
2006,Proportion of population practicing open defecation,Percent,Urban,0.16438
2007,Proportion of population practicing open defecation,Percent,Urban,0.12961
2008,Proportion of population practicing open defecation,Percent,Urban,0.09485
2009,Proportion of population practicing open defecation,Percent,Urban,0.06009
2010,Proportion of population practicing open defecation,Percent,Urban,0.02532
2011,Proportion of population practicing open defecation,Percent,Urban,0.0
2012,Proportion of population practicing open defecation,Percent,Urban,0.0
2013,Proportion of population practicing open defecation,Percent,Urban,0.0
2014,Proportion of population practicing open defecation,Percent,Urban,0.0
2015,Proportion of population practicing open defecation,Percent,Urban,0.0
2016,Proportion of population practicing open defecation,Percent,Urban,0.0
2017,Proportion of population practicing open defecation,Percent,Urban,0.0
2000,Proportion of population using safely managed sanitation services,Percent,Total,18.75907
2001,Proportion of population using safely managed sanitation services,Percent,Total,18.54498
2002,Proportion of population using safely managed sanitation services,Percent,Total,18.66326
2003,Proportion of population using safely managed sanitation services,Percent,Total,18.82021
2004,Proportion of population using safely managed sanitation services,Percent,Total,18.97643
2005,Proportion of population using safely managed sanitation services,Percent,Total,19.133229999999998
2006,Proportion of population using safely managed sanitation services,Percent,Total,19.289720000000003
2007,Proportion of population using safely managed sanitation services,Percent,Total,19.4456
2008,Proportion of population using safely managed sanitation services,Percent,Total,19.6013
2009,Proportion of population using safely managed sanitation services,Percent,Total,19.75685
2010,Proportion of population using safely managed sanitation services,Percent,Total,19.91232
2011,Proportion of population using safely managed sanitation services,Percent,Total,20.067610000000002
2012,Proportion of population using safely managed sanitation services,Percent,Total,20.22277
2013,Proportion of population using safely managed sanitation services,Percent,Total,20.39251
2014,Proportion of population using safely managed sanitation services,Percent,Total,20.594170000000002
2015,Proportion of population using safely managed sanitation services,Percent,Total,20.91505
2016,Proportion of population using safely managed sanitation services,Percent,Total,21.23535
2017,Proportion of population using safely managed sanitation services,Percent,Total,21.55497
2000,Proportion of population using safely managed sanitation services,Percent,Urban,6.45104
2001,Proportion of population using safely managed sanitation services,Percent,Urban,6.25821
2002,Proportion of population using safely managed sanitation services,Percent,Urban,6.46762
2003,Proportion of population using safely managed sanitation services,Percent,Urban,6.726439999999999
2004,Proportion of population using safely managed sanitation services,Percent,Urban,6.9875300000000005
2005,Proportion of population using safely managed sanitation services,Percent,Urban,7.249680000000001
2006,Proportion of population using safely managed sanitation services,Percent,Urban,7.514010000000001
2007,Proportion of population using safely managed sanitation services,Percent,Urban,7.780530000000001
2008,Proportion of population using safely managed sanitation services,Percent,Urban,8.04923
2009,Proportion of population using safely managed sanitation services,Percent,Urban,8.32012
2010,Proportion of population using safely managed sanitation services,Percent,Urban,8.59319
2011,Proportion of population using safely managed sanitation services,Percent,Urban,8.86843
2012,Proportion of population using safely managed sanitation services,Percent,Urban,9.14586
2013,Proportion of population using safely managed sanitation services,Percent,Urban,9.49302
2014,Proportion of population using safely managed sanitation services,Percent,Urban,9.88303
2015,Proportion of population using safely managed sanitation services,Percent,Urban,10.34628
2016,Proportion of population using safely managed sanitation services,Percent,Urban,10.80952
2017,Proportion of population using safely managed sanitation services,Percent,Urban,11.27276
2008,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.09766
2009,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.10578000000001
2010,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.1139
2011,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.12205
2012,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.13022
2013,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.13837
2014,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.14654
2015,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.15502
2016,Proportion of population with basic handwashing facilities on premises,Percent,Total,97.1638
2008,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2009,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2010,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2011,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2012,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2013,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2014,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2015,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2016,Proportion of population with basic handwashing facilities on premises,Percent,Rural,95.95402
2008,Proportion of population with basic handwashing facilities on premises,Percent,Urban,98.49996999999999
2009,Proportion of population with basic handwashing facilities on premises,Percent,Urban,98.49996999999999
2010,Proportion of population with basic handwashing facilities on premises,Percent,Urban,98.49996999999999
2011,Proportion of population with basic handwashing facilities on premises,Percent,Urban,98.49996999999999
2012,Proportion of population with basic handwashing facilities on premises,Percent,Urban,98.49996999999999
2013,Proportion of population with basic handwashing facilities on premises,Percent,Urban,98.49996999999999
2014,Proportion of population with basic handwashing facilities on premises,Percent,Urban,98.49996999999999
