Year,Value,UNIT_MEASURE,SERIES
2000,54.049403667562295,Percent,Liquid assets to short term liabilities (%)
2001,65.07871304080629,Percent,Liquid assets to short term liabilities (%)
2002,51.5190348825523,Percent,Liquid assets to short term liabilities (%)
2003,58.7375213456581,Percent,Liquid assets to short term liabilities (%)
2004,59.5254449010301,Percent,Liquid assets to short term liabilities (%)
2005,61.912742893894,Percent,Liquid assets to short term liabilities (%)
2006,60.7730615475189,Percent,Liquid assets to short term liabilities (%)
2007,61.284708589615796,Percent,Liquid assets to short term liabilities (%)
2008,51.800986165646705,Percent,Liquid assets to short term liabilities (%)
2009,52.8860411982102,Percent,Liquid assets to short term liabilities (%)
2010,49.707368149003706,Percent,Liquid assets to short term liabilities (%)
2011,46.670917605577095,Percent,Liquid assets to short term liabilities (%)
2012,44.053109343285,Percent,Liquid assets to short term liabilities (%)
2013,46.22966161950829,Percent,Liquid assets to short term liabilities (%)
2014,46.138343168112705,Percent,Liquid assets to short term liabilities (%)
2015,44.03978050924629,Percent,Liquid assets to short term liabilities (%)
2016,44.0938567313618,Percent,Liquid assets to short term liabilities (%)
2017,44.309757521127395,Percent,Liquid assets to short term liabilities (%)
2018,44.6595444498472,Percent,Liquid assets to short term liabilities (%)
2000,0.0,Percent,Net open position in foreign exchange to capital (%)
2001,0.0,Percent,Net open position in foreign exchange to capital (%)
2002,0.0,Percent,Net open position in foreign exchange to capital (%)
2003,42.1821411110154,Percent,Net open position in foreign exchange to capital (%)
2004,11.555883494208699,Percent,Net open position in foreign exchange to capital (%)
2005,8.28096322435092,Percent,Net open position in foreign exchange to capital (%)
2006,8.86905149119733,Percent,Net open position in foreign exchange to capital (%)
2007,5.89756294023394,Percent,Net open position in foreign exchange to capital (%)
2008,6.2230590329163595,Percent,Net open position in foreign exchange to capital (%)
2009,1.6983681988869501,Percent,Net open position in foreign exchange to capital (%)
2010,4.36946617542722,Percent,Net open position in foreign exchange to capital (%)
2011,15.985010797193901,Percent,Net open position in foreign exchange to capital (%)
2012,5.34710950449262,Percent,Net open position in foreign exchange to capital (%)
2013,6.69157732243825,Percent,Net open position in foreign exchange to capital (%)
2014,10.232227266882,Percent,Net open position in foreign exchange to capital (%)
2015,8.970821380820508,Percent,Net open position in foreign exchange to capital (%)
2016,1.6966661563472802,Percent,Net open position in foreign exchange to capital (%)
2017,-0.22757156549238197,Percent,Net open position in foreign exchange to capital (%)
2018,2.2410250402879797,Percent,Net open position in foreign exchange to capital (%)
2000,32.4693389054788,Percent,Non-performing loans net of provisions to capital (%)
2001,37.6090647205685,Percent,Non-performing loans net of provisions to capital (%)
2002,27.514714500471396,Percent,Non-performing loans net of provisions to capital (%)
2003,25.200873982285,Percent,Non-performing loans net of provisions to capital (%)
2004,19.494333340705303,Percent,Non-performing loans net of provisions to capital (%)
2005,20.415840577499896,Percent,Non-performing loans net of provisions to capital (%)
2006,15.3083015592223,Percent,Non-performing loans net of provisions to capital (%)
2007,12.9598497952939,Percent,Non-performing loans net of provisions to capital (%)
2008,13.8901872212992,Percent,Non-performing loans net of provisions to capital (%)
2009,25.464485699359102,Percent,Non-performing loans net of provisions to capital (%)
2010,42.009689201385996,Percent,Non-performing loans net of provisions to capital (%)
2011,25.9173608461831,Percent,Non-performing loans net of provisions to capital (%)
2012,30.0463912520826,Percent,Non-performing loans net of provisions to capital (%)
2013,30.9744996912242,Percent,Non-performing loans net of provisions to capital (%)
2014,27.922027925918602,Percent,Non-performing loans net of provisions to capital (%)
2015,26.8841920515272,Percent,Non-performing loans net of provisions to capital (%)
2016,18.4798679001815,Percent,Non-performing loans net of provisions to capital (%)
2017,14.3545245961634,Percent,Non-performing loans net of provisions to capital (%)
2018,12.1460435458492,Percent,Non-performing loans net of provisions to capital (%)
2000,21.215964833505,Percent,Non-performing loans to total gross loans (%)
2001,17.9071007297324,Percent,Non-performing loans to total gross loans (%)
2002,11.017219625819399,Percent,Non-performing loans to total gross loans (%)
2003,8.38582572565641,Percent,Non-performing loans to total gross loans (%)
2004,6.07354427319199,Percent,Non-performing loans to total gross loans (%)
2005,5.27605366757593,Percent,Non-performing loans to total gross loans (%)
2006,3.9987615025115497,Percent,Non-performing loans to total gross loans (%)
2007,3.01859191826486,Percent,Non-performing loans to total gross loans (%)
2008,3.0912079422106498,Percent,Non-performing loans to total gross loans (%)
2009,5.871207251876299,Percent,Non-performing loans to total gross loans (%)
2010,11.421782175376,Percent,Non-performing loans to total gross loans (%)
2011,11.7997140822193,Percent,Non-performing loans to total gross loans (%)
2012,13.4656882284517,Percent,Non-performing loans to total gross loans (%)
2013,15.1198478740683,Percent,Non-performing loans to total gross loans (%)
2014,14.1653123764986,Percent,Non-performing loans to total gross loans (%)
