Year,Value,UNIT_MEASURE,SERIES
2000,0.9004700000000001,Index,Red List Index
2001,0.90038,Index,Red List Index
2002,0.90028,Index,Red List Index
2003,0.9002100000000001,Index,Red List Index
2004,0.9002399999999999,Index,Red List Index
2005,0.90028,Index,Red List Index
2006,0.90028,Index,Red List Index
2007,0.90035,Index,Red List Index
2008,0.9003899999999999,Index,Red List Index
2009,0.9004200000000001,Index,Red List Index
2010,0.90045,Index,Red List Index
2011,0.90049,Index,Red List Index
2012,0.9005299999999999,Index,Red List Index
2013,0.9005700000000001,Index,Red List Index
2014,0.9006200000000001,Index,Red List Index
2015,0.90064,Index,Red List Index
2016,0.9006700000000001,Index,Red List Index
2017,0.9007,Index,Red List Index
2018,0.90074,Index,Red List Index
2019,0.9008,Index,Red List Index
2020,0.90081,Index,Red List Index
