Year,SERIES,UNIT_MEASURE,Value
2000,DT_TDS_DECT,PT,12.67419
2001,DT_TDS_DECT,PT,11.979000000000001
2002,DT_TDS_DECT,PT,5.93503
2003,DT_TDS_DECT,PT,5.22393
2004,DT_TDS_DECT,PT,4.116230000000001
2005,DT_TDS_DECT,PT,3.58475
2006,DT_TDS_DECT,PT,3.34136
2007,DT_TDS_DECT,PT,3.1481
2008,DT_TDS_DECT,PT,2.70532
2009,DT_TDS_DECT,PT,3.28689
2010,DT_TDS_DECT,PT,3.6289999999999996
2011,DT_TDS_DECT,PT,3.68589
2012,DT_TDS_DECT,PT,4.4527
2013,DT_TDS_DECT,PT,7.053
2014,DT_TDS_DECT,PT,7.730860000000001
2015,DT_TDS_DECT,PT,7.40867
2016,DT_TDS_DECT,PT,6.5877
2017,DT_TDS_DECT,PT,7.560389999999999
2018,DT_TDS_DECT,PT,6.999860000000001
