Year,Naziv prihoda,Value
1)2019 - 2020 Siječanj,Porez na dodanu vrijednost,102.68
2)2019 - 2020 Veljača,Porez na dodanu vrijednost,108.04
3)2019 - 2020 Ožujak,Porez na dodanu vrijednost,99.23
4)2019 - 2020 Travanj,Porez na dodanu vrijednost,76.73
5)2019 - 2020 Svibanj,Porez na dodanu vrijednost,69.59
6)2019 - 2020 Lipanj,Porez na dodanu vrijednost,93.0
7)2019 - 2020 Srpanj,Porez na dodanu vrijednost,98.56
8)2019 - 2020 Kolovoz,Porez na dodanu vrijednost,84.9
9)2019 - 2020 Rujan,Porez na dodanu vrijednost,
10)2019 - 2020 Listopad,Porez na dodanu vrijednost,
11)2019 - 2020 Studeni,Porez na dodanu vrijednost,
12)2019 - 2020 Prosinac,Porez na dodanu vrijednost,
1)2019 - 2020 Siječanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",102.24
2)2019 - 2020 Veljača,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",109.0
3)2019 - 2020 Ožujak,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",90.08
4)2019 - 2020 Travanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",56.7
5)2019 - 2020 Svibanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",63.74
6)2019 - 2020 Lipanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",89.74
7)2019 - 2020 Srpanj,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",92.66
8)2019 - 2020 Kolovoz,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",82.75
9)2019 - 2020 Rujan,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",
10)2019 - 2020 Listopad,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",
11)2019 - 2020 Studeni,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",
12)2019 - 2020 Prosinac,"Carinske dažbine, pristojbe za carinsku registraciju i posebne dažbine",
