Year,Units,Value
2000,Na 100000 živorođenih,17
2001,Na 100000 živorođenih,16
2002,Na 100000 živorođenih,14
2003,Na 100000 živorođenih,14
2004,Na 100000 živorođenih,14
2005,Na 100000 živorođenih,13
2006,Na 100000 živorođenih,13
2007,Na 100000 živorođenih,13
2008,Na 100000 živorođenih,11
2009,Na 100000 živorođenih,11
2010,Na 100000 živorođenih,11
2011,Na 100000 živorođenih,10
2012,Na 100000 živorođenih,10
2013,Na 100000 živorođenih,10
2014,Na 100000 živorođenih,10
2015,Na 100000 živorođenih,10
2016,Na 100000 živorođenih,10
2017,Na 100000 živorođenih,10
