Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba spola ili bez podjele po spolu,6.37127
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba spola ili bez podjele po spolu,7.2005
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba spola ili bez podjele po spolu,7.32246
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba spola ili bez podjele po spolu,6.920780000000001
2018,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba spola ili bez podjele po spolu,7.147419999999999
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.41906
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.75297
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.80508
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.61694
2018,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.70457
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,10.564689999999999
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,11.90028
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,12.089139999999999
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,11.45989
2018,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,11.82842
