Year,SERIES,UNIT_MEASURE,Spol,Zanimanje,Value
2000,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,14.547
2001,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,14.499
2002,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,14.478
2003,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,14.776
2004,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,15.09
2005,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,15.332
2006,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,15.754000000000001
2007,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,16.429000000000002
2008,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,16.714000000000002
2009,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,17.38
2010,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,17.987000000000002
2011,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,18.794
2012,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,19.49
2013,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,20.355
2014,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,21.326
2015,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Doktori medicine,21.616
2000,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,1.013
2001,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.932
2002,Gustina i distribucija zdravstvenih radnika,Na 10 000 stanovnika,,Farmaceuti,0.99
