Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2000,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.66104
2001,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.59606
2002,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.53138
2003,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.46701000000000004
2004,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.40296
2005,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.33923000000000003
2006,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.27581
2007,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.21270999999999998
2008,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.14993
2009,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.08747
2010,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.02532
2011,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.0
2012,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.0
2013,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.0
2014,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.0
2015,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.0
2016,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.0
2017,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ukupno,0.0
2000,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.8729600000000001
2001,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.7882
2002,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.70343
2003,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.6186699999999999
2004,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.53391
2005,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.44914
2006,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.36438000000000004
2007,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.27960999999999997
2008,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.19485
2009,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.11009000000000001
2010,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.02532
2011,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.0
2012,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.0
2013,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.0
2014,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.0
2015,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.0
2016,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.0
2017,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Ruralno,0.0
2000,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.37296
2001,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.3382
2002,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.30343000000000003
2003,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.26866999999999996
2004,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.23390999999999998
2005,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.19914
2006,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.16438
2007,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.12961
2008,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.09485
2009,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.06009
2010,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.02532
2011,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.0
2012,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.0
2013,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.0
2014,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.0
2015,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.0
2016,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.0
2017,Udio stanovništva koje prakticira otvorenu defekaciju,Postotak,Urbano,0.0
