Year,Value,UNIT_MEASURE,SERIES
2000,28.713852199999998,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2001,26.091817300000002,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2002,22.4884302,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2003,20.7660871,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2004,19.3767629,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2005,18.1568243,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2006,16.7042815,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2007,17.025509200000002,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2008,14.219122500000001,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2009,12.075921600000001,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2010,10.6091171,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2011,10.5028651,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2012,10.714178500000001,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2013,10.7708945,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2014,11.3541369,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2015,11.1100604,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2016,10.9144386,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2017,11.1540444,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
2018,10.5231356,Postotak,Količina doznaka (u američkim dolarima) kao udio u ukupnom iznosu BDP-a
