Year,Value,UNIT_MEASURE,SERIES
2000,19.58084,USD,DC_TOF_WASHL
2001,38.82584,USD,DC_TOF_WASHL
2002,9.64236,USD,DC_TOF_WASHL
2003,13.74311,USD,DC_TOF_WASHL
2004,42.03058,USD,DC_TOF_WASHL
2005,20.24693,USD,DC_TOF_WASHL
2006,15.9279,USD,DC_TOF_WASHL
2007,16.63345,USD,DC_TOF_WASHL
2008,14.332189999999999,USD,DC_TOF_WASHL
2009,17.654629999999997,USD,DC_TOF_WASHL
2010,28.460990000000002,USD,DC_TOF_WASHL
2011,43.36911,USD,DC_TOF_WASHL
2012,43.072140000000005,USD,DC_TOF_WASHL
2013,37.56426,USD,DC_TOF_WASHL
2014,43.50735,USD,DC_TOF_WASHL
2015,69.22511999999999,USD,DC_TOF_WASHL
2016,69.22511999999999,USD,DC_TOF_WASHL
2017,49.60147,USD,DC_TOF_WASHL
2018,16.604770000000002,USD,DC_TOF_WASHL
