Year,SERIES,UNIT_MEASURE,Value
2000,Ликвидна имовина на краткорочним обавезама (%),Проценат,54.049403667562295
2001,Ликвидна имовина на краткорочним обавезама (%),Проценат,65.07871304080629
2002,Ликвидна имовина на краткорочним обавезама (%),Проценат,51.5190348825523
2003,Ликвидна имовина на краткорочним обавезама (%),Проценат,58.7375213456581
2004,Ликвидна имовина на краткорочним обавезама (%),Проценат,59.5254449010301
2005,Ликвидна имовина на краткорочним обавезама (%),Проценат,61.912742893894
2006,Ликвидна имовина на краткорочним обавезама (%),Проценат,60.7730615475189
2007,Ликвидна имовина на краткорочним обавезама (%),Проценат,61.284708589615796
2008,Ликвидна имовина на краткорочним обавезама (%),Проценат,51.800986165646705
2009,Ликвидна имовина на краткорочним обавезама (%),Проценат,52.8860411982102
2010,Ликвидна имовина на краткорочним обавезама (%),Проценат,49.707368149003706
2011,Ликвидна имовина на краткорочним обавезама (%),Проценат,46.670917605577095
2012,Ликвидна имовина на краткорочним обавезама (%),Проценат,44.053109343285
2013,Ликвидна имовина на краткорочним обавезама (%),Проценат,46.22966161950829
2014,Ликвидна имовина на краткорочним обавезама (%),Проценат,46.138343168112705
2015,Ликвидна имовина на краткорочним обавезама (%),Проценат,44.03978050924629
2016,Ликвидна имовина на краткорочним обавезама (%),Проценат,44.0938567313618
2017,Ликвидна имовина на краткорочним обавезама (%),Проценат,44.309757521127395
2018,Ликвидна имовина на краткорочним обавезама (%),Проценат,44.6595444498472
2000,Нето отворена позиција у девизама до капитала (%),Проценат,0.0
2001,Нето отворена позиција у девизама до капитала (%),Проценат,0.0
2002,Нето отворена позиција у девизама до капитала (%),Проценат,0.0
2003,Нето отворена позиција у девизама до капитала (%),Проценат,42.1821411110154
2004,Нето отворена позиција у девизама до капитала (%),Проценат,11.555883494208699
2005,Нето отворена позиција у девизама до капитала (%),Проценат,8.28096322435092
2006,Нето отворена позиција у девизама до капитала (%),Проценат,8.86905149119733
2007,Нето отворена позиција у девизама до капитала (%),Проценат,5.89756294023394
2008,Нето отворена позиција у девизама до капитала (%),Проценат,6.2230590329163595
2009,Нето отворена позиција у девизама до капитала (%),Проценат,1.6983681988869501
2010,Нето отворена позиција у девизама до капитала (%),Проценат,4.36946617542722
2011,Нето отворена позиција у девизама до капитала (%),Проценат,15.985010797193901
2012,Нето отворена позиција у девизама до капитала (%),Проценат,5.34710950449262
2013,Нето отворена позиција у девизама до капитала (%),Проценат,6.69157732243825
2014,Нето отворена позиција у девизама до капитала (%),Проценат,10.232227266882
2015,Нето отворена позиција у девизама до капитала (%),Проценат,8.970821380820508
2016,Нето отворена позиција у девизама до капитала (%),Проценат,1.6966661563472802
2017,Нето отворена позиција у девизама до капитала (%),Проценат,-0.22757156549238197
2018,Нето отворена позиција у девизама до капитала (%),Проценат,2.2410250402879797
2000,Нето кредити одређени за капитал који се не изводе (%),Проценат,32.4693389054788
2001,Нето кредити одређени за капитал који се не изводе (%),Проценат,37.6090647205685
2002,Нето кредити одређени за капитал који се не изводе (%),Проценат,27.514714500471396
2003,Нето кредити одређени за капитал који се не изводе (%),Проценат,25.200873982285
2004,Нето кредити одређени за капитал који се не изводе (%),Проценат,19.494333340705303
2005,Нето кредити одређени за капитал који се не изводе (%),Проценат,20.415840577499896
2006,Нето кредити одређени за капитал који се не изводе (%),Проценат,15.3083015592223
2007,Нето кредити одређени за капитал који се не изводе (%),Проценат,12.9598497952939
2008,Нето кредити одређени за капитал који се не изводе (%),Проценат,13.8901872212992
2009,Нето кредити одређени за капитал који се не изводе (%),Проценат,25.464485699359102
2010,Нето кредити одређени за капитал који се не изводе (%),Проценат,42.009689201385996
2011,Нето кредити одређени за капитал који се не изводе (%),Проценат,25.9173608461831
2012,Нето кредити одређени за капитал који се не изводе (%),Проценат,30.0463912520826
2013,Нето кредити одређени за капитал који се не изводе (%),Проценат,30.9744996912242
2014,Нето кредити одређени за капитал који се не изводе (%),Проценат,27.922027925918602
2015,Нето кредити одређени за капитал који се не изводе (%),Проценат,26.8841920515272
2016,Нето кредити одређени за капитал који се не изводе (%),Проценат,18.4798679001815
2017,Нето кредити одређени за капитал који се не изводе (%),Проценат,14.3545245961634
2018,Нето кредити одређени за капитал који се не изводе (%),Проценат,12.1460435458492
2000,Кредити у укупним бруто кредитима који се не изводе (%),Проценат,21.215964833505
2001,Кредити у укупним бруто кредитима који се не изводе (%),Проценат,17.9071007297324
2002,Кредити у укупним бруто кредитима који се не изводе (%),Проценат,11.017219625819399
