Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2017,SG_INT_MBRDEV,PT,IO_ECOSOC,1.85185
2000,SG_INT_MBRDEV,PT,IO_IBRD,0.54945
2005,SG_INT_MBRDEV,PT,IO_IBRD,0.54348
2010,SG_INT_MBRDEV,PT,IO_IBRD,0.53476
2015,SG_INT_MBRDEV,PT,IO_IBRD,0.53191
2016,SG_INT_MBRDEV,PT,IO_IBRD,0.53191
2017,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2018,SG_INT_MBRDEV,PT,IO_IBRD,0.5291
2019,SG_INT_MBRDEV,PT,IO_IBRD,0.529
2000,SG_INT_MBRDEV,PT,IO_IFC,0.57471
2005,SG_INT_MBRDEV,PT,IO_IFC,0.5618
2010,SG_INT_MBRDEV,PT,IO_IFC,0.54945
2015,SG_INT_MBRDEV,PT,IO_IFC,0.54348
2016,SG_INT_MBRDEV,PT,IO_IFC,0.54348
2017,SG_INT_MBRDEV,PT,IO_IFC,0.54348
2018,SG_INT_MBRDEV,PT,IO_IFC,0.54348
2019,SG_INT_MBRDEV,PT,IO_IFC,0.5429999999999999
2000,SG_INT_MBRDEV,PT,IO_IMF,0.5618
2005,SG_INT_MBRDEV,PT,IO_IMF,0.5524899999999999
2010,SG_INT_MBRDEV,PT,IO_IMF,0.54945
2015,SG_INT_MBRDEV,PT,IO_IMF,0.53191
2016,SG_INT_MBRDEV,PT,IO_IMF,0.53191
2017,SG_INT_MBRDEV,PT,IO_IMF,0.5291
2018,SG_INT_MBRDEV,PT,IO_IMF,0.5291
2019,SG_INT_MBRDEV,PT,IO_IMF,0.529
2000,SG_INT_MBRDEV,PT,IO_UNGA,0.5291
2005,SG_INT_MBRDEV,PT,IO_UNGA,0.52356
2010,SG_INT_MBRDEV,PT,IO_UNGA,0.52083
2015,SG_INT_MBRDEV,PT,IO_UNGA,0.51813
2016,SG_INT_MBRDEV,PT,IO_UNGA,0.51813
2017,SG_INT_MBRDEV,PT,IO_UNGA,0.51813
2018,SG_INT_MBRDEV,PT,IO_UNGA,0.51813
2019,SG_INT_MBRDEV,PT,IO_UNGA,0.518
2010,SG_INT_MBRDEV,PT,IO_UNSC,6.66667
2017,SG_INT_VRTDEV,PT,IO_ECOSOC,1.85185
2000,SG_INT_VRTDEV,PT,IO_IBRD,0.04964
2005,SG_INT_VRTDEV,PT,IO_IBRD,0.04936
2010,SG_INT_VRTDEV,PT,IO_IBRD,0.049280000000000004
2015,SG_INT_VRTDEV,PT,IO_IBRD,0.05426
2016,SG_INT_VRTDEV,PT,IO_IBRD,0.05
2017,SG_INT_VRTDEV,PT,IO_IBRD,0.05703
2018,SG_INT_VRTDEV,PT,IO_IBRD,0.06366000000000001
2019,SG_INT_VRTDEV,PT,IO_IBRD,0.06304
2000,SG_INT_VRTDEV,PT,IO_IFC,0.03623
2005,SG_INT_VRTDEV,PT,IO_IFC,0.03612
2010,SG_INT_VRTDEV,PT,IO_IFC,0.03603
2015,SG_INT_VRTDEV,PT,IO_IFC,0.05306
2016,SG_INT_VRTDEV,PT,IO_IFC,0.05306
2017,SG_INT_VRTDEV,PT,IO_IFC,0.05306
2018,SG_INT_VRTDEV,PT,IO_IFC,0.053
2019,SG_INT_VRTDEV,PT,IO_IFC,0.05246
2000,SG_INT_VRTDEV,PT,IO_IMF,0.09067
2005,SG_INT_VRTDEV,PT,IO_IMF,0.08922999999999999
2010,SG_INT_VRTDEV,PT,IO_IMF,0.08765
2015,SG_INT_VRTDEV,PT,IO_IMF,0.09637000000000001
2016,SG_INT_VRTDEV,PT,IO_IMF,0.063
2017,SG_INT_VRTDEV,PT,IO_IMF,0.08182
2018,SG_INT_VRTDEV,PT,IO_IMF,0.08182
2019,SG_INT_VRTDEV,PT,IO_IMF,0.0818
2000,SG_INT_VRTDEV,PT,IO_UNGA,0.5291
2005,SG_INT_VRTDEV,PT,IO_UNGA,0.52356
2010,SG_INT_VRTDEV,PT,IO_UNGA,0.52083
2015,SG_INT_VRTDEV,PT,IO_UNGA,0.51813
2016,SG_INT_VRTDEV,PT,IO_UNGA,0.51813
2017,SG_INT_VRTDEV,PT,IO_UNGA,0.51813
2018,SG_INT_VRTDEV,PT,IO_UNGA,0.51813
2019,SG_INT_VRTDEV,PT,IO_UNGA,0.51813
2010,SG_INT_VRTDEV,PT,IO_UNSC,6.66667
