Year,Units,Value
2000,INDEX,0.9004700000000001
2001,INDEX,0.90038
2002,INDEX,0.90028
2003,INDEX,0.9002100000000001
2004,INDEX,0.9002399999999999
2005,INDEX,0.90028
2006,INDEX,0.90028
2007,INDEX,0.90035
2008,INDEX,0.9003899999999999
2009,INDEX,0.9004200000000001
2010,INDEX,0.90045
2011,INDEX,0.90049
2012,INDEX,0.9005299999999999
2013,INDEX,0.9005700000000001
2014,INDEX,0.9006200000000001
2015,INDEX,0.90064
2016,INDEX,0.9006700000000001
2017,INDEX,0.9007
2018,INDEX,0.90074
2019,INDEX,0.9008
2020,INDEX,0.90081
