Year,Series,Старост,Пол,Value
2015,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Женски,9.61
2015,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Мушки,9.19
2015,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),Укупно,Укупно,9.59
2016,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Женски,9.07
2016,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Мушки,10.96
2016,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),Укупно,Укупно,10.27
2017,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Женски,7.79
2017,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Мушки,9.2
2017,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),Укупно,Укупно,8.68
2018,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Женски,8.17
2018,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),15+,Мушки,9.62
2018,Распрострањеност умјерене или озбиљне несигурности хране у одраслој популацији(%),Укупно,Укупно,9.19
2015,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Женски,3.2
2015,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Мушки,3.1
2015,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),Укупно,Укупно,2.7
2016,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Женски,3.2
2016,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Мушки,3.1
2016,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),Укупно,Укупно,2.7
2017,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Женски,3.2
2017,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Мушки,3.1
2017,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),Укупно,Укупно,2.7
2018,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Женски,3.2
2018,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),15+,Мушки,3.1
2018,Распрострањеност озбиљне несигурности хране у одраслој популацији (%),Укупно,Укупно,2.7
