Year,SERIES,UNIT_MEASURE,Value
2000,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,101.23285
2001,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,84.27593
2002,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,9.611410000000001
2003,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,12.457189999999999
2004,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,38.93128
2005,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,11.65837
2006,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,11.78383
2007,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,11.905999999999999
2008,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,12.98218
2009,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,19.31165
2010,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,15.04609
2011,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,17.418429999999997
2012,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,19.4012
2013,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,20.96925
2014,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,17.95875
2015,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,10.892560000000001
2016,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,7.733410000000001
2017,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,9.5384
2018,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима",Амерички долар,14.23957
