Year,SERIES,UNIT_MEASURE,Степен урбанизације,Value
2000,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.66104
2001,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.59606
2002,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.53138
2003,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.46701000000000004
2004,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.40296
2005,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.33923000000000003
2006,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.27581
2007,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.21270999999999998
2008,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.14993
2009,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.08747
2010,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.02532
2011,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.0
2012,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.0
2013,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.0
2014,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.0
2015,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.0
2016,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.0
2017,Удио становништва које практикује отворену дефекацију,Проценат,Укупно,0.0
2000,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.8729600000000001
2001,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.7882
2002,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.70343
2003,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.6186699999999999
2004,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.53391
2005,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.44914
2006,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.36438000000000004
2007,Удио становништва које практикује отворену дефекацију,Проценат,Рурално,0.27960999999999997
