Year,SERIES,UNIT_MEASURE,Привредна активност,Пол,Value
2006,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,89.54726
2007,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,90.8656
2008,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,91.24082
2009,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,91.19395
2010,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,90.3971
2011,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,90.55731
2012,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,90.81430999999999
2013,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,90.94156
2014,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,89.75101
2015,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,89.99401
2016,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,89.89365
2017,"Удио неформалне запослености у укупној запослености, према секторима и полу (Усклађене процјене ILO-а)",Проценат,"Пољопривреда, шумарство и риболов",Оба пола или без подјеле по полу,90.06844
