Year,Type of revenue,Value
a)2019 - 2020 Јануар,Порез на додану вриједност,102.68
b)2019 - 2020 Фебруар,Порез на додану вриједност,108.04
c)2019 - 2020 Март,Порез на додану вриједност,99.23
d)2019 - 2020 Април,Порез на додану вриједност,76.73
e)2019 - 2020 Мај,Порез на додану вриједност,69.59
f)2019 - 2020 Јуни,Порез на додану вриједност,93.0
g)2019 - 2020 Јули,Порез на додану вриједност,98.56
h)2019 - 2020 Август,Порез на додану вриједност,84.9
a)2019 - 2020 Јануар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",102.24
b)2019 - 2020 Фебруар,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",109.0
c)2019 - 2020 Март,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",90.08
d)2019 - 2020 Април,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",56.7
e)2019 - 2020 Мај,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",63.74
f)2019 - 2020 Јуни,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",89.74
g)2019 - 2020 Јули,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",92.66
h)2019 - 2020 Август,"Царинске дажбине, накнаде за царинско евидентирање и посебне дажбине",82.75
