Year,Value,UNIT_MEASURE,SERIES
2000,0.50427,PT,DC_ODA_POVLG
2001,0.93125,PT,DC_ODA_POVLG
2002,0.13714,PT,DC_ODA_POVLG
2003,0.25945999999999997,PT,DC_ODA_POVLG
2004,0.23321,PT,DC_ODA_POVLG
2005,0.1206,PT,DC_ODA_POVLG
2006,0.14395,PT,DC_ODA_POVLG
2007,0.10574000000000001,PT,DC_ODA_POVLG
2008,0.0942,PT,DC_ODA_POVLG
2009,0.06307,PT,DC_ODA_POVLG
2010,0.14942,PT,DC_ODA_POVLG
2011,0.18137999999999999,PT,DC_ODA_POVLG
2012,0.27539,PT,DC_ODA_POVLG
2013,0.16629000000000002,PT,DC_ODA_POVLG
2014,0.09827000000000001,PT,DC_ODA_POVLG
2015,0.26383,PT,DC_ODA_POVLG
2016,0.16277,PT,DC_ODA_POVLG
2017,0.13437000000000002,PT,DC_ODA_POVLG
2018,0.07866000000000001,PT,DC_ODA_POVLG
