Year,Value,Series
2001,0.1,Број потхрањених људи (милиони)
2002,0.1,Број потхрањених људи (милиони)
2003,0.1,Број потхрањених људи (милиони)
2001,3.2,Распрострањеност подхрањености (%)
2002,3.1,Распрострањеност подхрањености (%)
2003,2.7,Распрострањеност подхрањености (%)
2004,2.5,Распрострањеност подхрањености (%)
2005,2.5,Распрострањеност подхрањености (%)
2006,2.5,Распрострањеност подхрањености (%)
2007,2.5,Распрострањеност подхрањености (%)
2008,2.5,Распрострањеност подхрањености (%)
2009,2.5,Распрострањеност подхрањености (%)
2010,2.5,Распрострањеност подхрањености (%)
2011,2.5,Распрострањеност подхрањености (%)
2012,2.5,Распрострањеност подхрањености (%)
2013,2.5,Распрострањеност подхрањености (%)
2014,2.5,Распрострањеност подхрањености (%)
2015,2.5,Распрострањеност подхрањености (%)
2016,2.5,Распрострањеност подхрањености (%)
2017,2.5,Распрострањеност подхрањености (%)
2018,2.5,Распрострањеност подхрањености (%)
