Year,Series,Value
2001,number of undernourish people,0.1
2002,number of undernourish people,0.1
2003,number of undernourish people,0.1
2001,prevalence of undernourishment,3.2
2002,prevalence of undernourishment,3.1
2003,prevalence of undernourishment,2.7
2004,prevalence of undernourishment,2.5
2005,prevalence of undernourishment,2.5
2006,prevalence of undernourishment,2.5
2007,prevalence of undernourishment,2.5
2008,prevalence of undernourishment,2.5
2009,prevalence of undernourishment,2.5
2010,prevalence of undernourishment,2.5
2011,prevalence of undernourishment,2.5
2012,prevalence of undernourishment,2.5
2013,prevalence of undernourishment,2.5
2014,prevalence of undernourishment,2.5
2015,prevalence of undernourishment,2.5
2016,prevalence of undernourishment,2.5
2017,prevalence of undernourishment,2.5
2018,prevalence of undernourishment,2.5
