Year,SERIES,UNIT_MEASURE,Value
2000,EN_ATM_CO2,TONNES_M,13.718
2001,EN_ATM_CO2,TONNES_M,13.501
2002,EN_ATM_CO2,TONNES_M,14.219000000000001
2003,EN_ATM_CO2,TONNES_M,14.546
2004,EN_ATM_CO2,TONNES_M,15.187000000000001
2005,EN_ATM_CO2,TONNES_M,15.857999999999999
2006,EN_ATM_CO2,TONNES_M,17.462
2007,EN_ATM_CO2,TONNES_M,18.415
2008,EN_ATM_CO2,TONNES_M,20.24
2009,EN_ATM_CO2,TONNES_M,20.204
2010,EN_ATM_CO2,TONNES_M,20.483
2011,EN_ATM_CO2,TONNES_M,23.401
2012,EN_ATM_CO2,TONNES_M,21.645
2013,EN_ATM_CO2,TONNES_M,21.51
2014,EN_ATM_CO2,TONNES_M,19.172
2015,EN_ATM_CO2,TONNES_M,19.305999999999997
2016,EN_ATM_CO2,TONNES_M,22.019000000000002
2017,EN_ATM_CO2,TONNES_M,22.328000000000003
2000,EN_ATM_CO2GDP,KG_PER_CON_USD,0.60146
2001,EN_ATM_CO2GDP,KG_PER_CON_USD,0.56698
2002,EN_ATM_CO2GDP,KG_PER_CON_USD,0.56707
2003,EN_ATM_CO2GDP,KG_PER_CON_USD,0.55783
2004,EN_ATM_CO2GDP,KG_PER_CON_USD,0.54891
2005,EN_ATM_CO2GDP,KG_PER_CON_USD,0.52699
2006,EN_ATM_CO2GDP,KG_PER_CON_USD,0.5504899999999999
2007,EN_ATM_CO2GDP,KG_PER_CON_USD,0.54843
2008,EN_ATM_CO2GDP,KG_PER_CON_USD,0.57175
2009,EN_ATM_CO2GDP,KG_PER_CON_USD,0.5884199999999999
2010,EN_ATM_CO2GDP,KG_PER_CON_USD,0.59135
2011,EN_ATM_CO2GDP,KG_PER_CON_USD,0.66919
2012,EN_ATM_CO2GDP,KG_PER_CON_USD,0.6241
2013,EN_ATM_CO2GDP,KG_PER_CON_USD,0.60598
2014,EN_ATM_CO2GDP,KG_PER_CON_USD,0.53398
2015,EN_ATM_CO2GDP,KG_PER_CON_USD,0.52167
2016,EN_ATM_CO2GDP,KG_PER_CON_USD,0.5768300000000001
2017,EN_ATM_CO2GDP,KG_PER_CON_USD,0.56686
2000,EN_ATM_CO2MVA,KG_PER_CON_USD,1.6
2001,EN_ATM_CO2MVA,KG_PER_CON_USD,1.38
2002,EN_ATM_CO2MVA,KG_PER_CON_USD,1.43
2003,EN_ATM_CO2MVA,KG_PER_CON_USD,0.36
2004,EN_ATM_CO2MVA,KG_PER_CON_USD,0.72
2005,EN_ATM_CO2MVA,KG_PER_CON_USD,0.89
2006,EN_ATM_CO2MVA,KG_PER_CON_USD,0.83
2007,EN_ATM_CO2MVA,KG_PER_CON_USD,0.8
2008,EN_ATM_CO2MVA,KG_PER_CON_USD,0.79
2009,EN_ATM_CO2MVA,KG_PER_CON_USD,0.89
2010,EN_ATM_CO2MVA,KG_PER_CON_USD,0.98
2011,EN_ATM_CO2MVA,KG_PER_CON_USD,1.09
2012,EN_ATM_CO2MVA,KG_PER_CON_USD,1.11
2013,EN_ATM_CO2MVA,KG_PER_CON_USD,1.24
2014,EN_ATM_CO2MVA,KG_PER_CON_USD,1.08
2015,EN_ATM_CO2MVA,KG_PER_CON_USD,1.06
2016,EN_ATM_CO2MVA,KG_PER_CON_USD,0.95
2017,EN_ATM_CO2MVA,KG_PER_CON_USD,0.94
