Year,Value,Units
2000,17,PER 100000 LIVE BIRTHS
2001,16,PER 100000 LIVE BIRTHS
2002,14,PER 100000 LIVE BIRTHS
2003,14,PER 100000 LIVE BIRTHS
2004,14,PER 100000 LIVE BIRTHS
2005,13,PER 100000 LIVE BIRTHS
2006,13,PER 100000 LIVE BIRTHS
2007,13,PER 100000 LIVE BIRTHS
2008,11,PER 100000 LIVE BIRTHS
2009,11,PER 100000 LIVE BIRTHS
2010,11,PER 100000 LIVE BIRTHS
2011,10,PER 100000 LIVE BIRTHS
2012,10,PER 100000 LIVE BIRTHS
2013,10,PER 100000 LIVE BIRTHS
2014,10,PER 100000 LIVE BIRTHS
2015,10,PER 100000 LIVE BIRTHS
2016,10,PER 100000 LIVE BIRTHS
2017,10,PER 100000 LIVE BIRTHS
