Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,No breakdown,Bez podjele,_T,Bez podjele,2,1
IHR_01,"National legislation, policy and financing","Nacionalno zakonodavstvo, politika i finansiranje",IHR_01,"Nacionalno zakonodavstvo, politika i financiranje",1,1
IHR_02,Coordination and National Focal Point communications,Koordinacija i nacionalna kontakt tačka za komunikaciju,IHR_02,Koordinacija i nacionalna kontakt točka za komunikaciju,1,1
IHR_03,Surveillance,Nadzor,IHR_03,Nadzor,1,1
IHR_04,Response,Odgovor,IHR_04,Odgovor,1,1
IHR_05,Preparedness,Spremnost,IHR_05,Spremnost,1,1
IHR_06,Risk communication,Komunikacija o riziku,IHR_06,Komunikacija o riziku,1,1
IHR_07,Human resources,Ljudski resursi,IHR_07,Ljudski resursi,1,1
IHR_08,Laboratory,Laboratorija,IHR_08,Laboratorija,1,1
IHR_09,Points of entry,Tačke ulaska,IHR_09,Točke ulaska,1,1
IHR_10,Zoonotic events,Zoonotski događaji,IHR_10,Zoonotski događaji,1,1
IHR_11,Food safety,Sigurnost hrane,IHR_11,Sigurnost hrane,1,1
IHR_12,Chemical events,Hemijski događaji,IHR_12,Kemijski događaji,1,1
IHR_13,Radionuclear emergencies,Vanredne situacije u vezi sa zračenjem,IHR_13,Izvanredne situacije u vezi sa zračenjem,1,1
IO_ECOSOC,UN Economic and Social Council,Ekonomsko i socijalno vijeće UN-a,IO_ECOSOC,Ekonomsko i socijalno vijeće UN-a,4,2
IO_IBRD,International Bank for Reconstruction and Development,Međunarodna banka za obnovu i razvoj,IO_IBRD,Međunarodna banka za obnovu i razvitak,4,2
IO_IFC,International Finance Corporation,Međunarodna finansijska korporacija,IO_IFC,Međunarodna financijska korporacija,4,2
IO_IMF,International Monetary Fund,Međunarodni monetarni fond,IO_IMF,Međunarodni monetarni fond,4,2
IO_UNGA,UN General Assembly,Generalna skupština UN-a,IO_UNGA,Generalna skupština UN-a,4,2
IO_UNSC,UN Security Council,Vijeće sigurnosti UN-a,IO_UNSC,Vijeće sigurnosti UN-a,4,2
IS_256KT2M,256 kbit/s to less than 2 Mbit/s,256 kbit/s do manje od 2 Mbit/s,IS_256KT2M,256 kbit/s do manje od 2 Mbit/s,2,1
IS_2MT10M,2 Mbit/s to less than 10 Mbit/s,2 Mbit/s do manje od 10 Mbit/s,IS_2MT10M,2 Mbit/s do manje od 10 Mbit/s,2,1
IS_GE10M,10 Mbit/s or above,10 Mbit/s ili više,IS_GE10M,10 Mbit/s ili više,2,1
MOT_IWW,Inland waterway transport,Unutrašnji plovni put,MOT_IWW,Unutarnji plovni put,1,1
MOT_RAI,Rail,Željeznički,MOT_RAI,Željeznički,2,1
MOT_ROA,Road,Cestovni,MOT_ROA,Cestovni,2,1
NCD_CARDIO,Cardiovascular disease,Kardiovaskularne bolesti,NCD_CARDIO,Kardiovaskularne bolesti,3,1
NCD_CNCR,Cancer,Rak,NCD_CNCR,Rak,3,1
NCD_CRESPD,Chronic respiratory disease,Hronična respiratorna bolest,NCD_CRESPD,Kronična respiratorna bolest,3,1
NCD_DIABTS,Diabetes,Dijabetes,NCD_DIABTS,Dijabetes,3,1
PC_DEFENCE,Defence,Odbrana,PC_DEFENCE,Obrana,2,1
PC_FINANCE,Finance,Finansije,PC_FINANCE,Financije,2,1
PC_FOR_AFF,Foreign Affairs,Vanjski poslovi,PC_FOR_AFF,Vanjski poslovi,2,1
PC_GEN_EQU,Gender Equality,Ravnopravnost spolova,PC_GEN_EQU,Ravnopravnost spolova,2,1
PC_HUM_RIGH,Human Rights,Ljudska prava,PC_HUM_RIGH,Ljudska prava,2,1
SKILL_ICTATCH,Sending e-mails with attached files,Slanje e-pošte s priloženim datotekama,SKILL_ICTATCH,Slanje e-pošte s priloženim datotekama,3,1
SKILL_ICTCMFL,Copying or moving a file or folder,Kopiranje ili premještanje datoteke ili mape,SKILL_ICTCMFL,Kopiranje ili premještanje datoteke ili mape,3,1
SKILL_ICTCPT,Using copy and paste tools to duplicate or move information within a document,Korištenje alata kopiranja i lijepljenja za dupliranje ili premještanje podataka unutar dokumenta,SKILL_ICTCPT,Korištenje alata kopiranja i lijepljenja za dupliranje ili premještanje podataka unutar dokumenta,3,1
SKILL_ICTPRGM,Writing a computer program using a specialized programming language,Pisanje računarskog programa pomoću specijalizovanog programskog jezika,SKILL_ICTPRGM,Pisanje računarskog programa pomoću specijaliziranog programskog jezika,3,1
SKILL_ICTPST,Creating electronic presentations with presentation software,Izrada elektronskih prezentacija pomoću softvera za prezentacije,SKILL_ICTPST,Izrada elektroničkih prezentacija pomoću softvera za prezentacije,3,1
SKILL_ICTSFWR,"Finding, downloading, installing and configuring software","Pronalaženje, preuzimanje, instaliranje i konfigurisanje softvera",SKILL_ICTSFWR,"Pronalaženje, preuzimanje, instaliranje i konfiguriranje softvera",3,1
SKILL_ICTSSHT,Using basic arithmetic formula in a spreadsheet,Korištenje osnovne aritmetičke formule u proračunskoj tabeli,SKILL_ICTSSHT,Korištenje osnovne aritmetičke formule u proračunskoj tablici,3,1
SKILL_ICTTRFF,Transferring files between a computer and other devices,Prijenos datoteka između računara i drugih uređaja,SKILL_ICTTRFF,Prijenos datoteka između računara i drugih uređaja,3,1
SKILL_MATH,Mathematics,Matematika,SKILL_MATH,Matematika,8,2
SKILL_READ,Reading,Čitanje,SKILL_READ,Čitanje,8,2
SPAR_01,Legislation and Financing,Zakonodavstvo i finansiranje,SPAR_01,Zakonodavstvo i financiranje,1,1
