Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,No breakdown,Bez podjele,_T,_T,9,4
AGG_AGR,Agriculture products,Poljoprivredni proizvodi,AGG_AGR,AGG_AGR,3,2
AGG_ARMS,Arms,Oružje,AGG_ARMS,AGG_ARMS,3,2
AGG_CLTH,Clothing,Odjeća,AGG_CLTH,AGG_CLTH,3,2
AGG_IND,Industrial products,Industrijski proizvodi,AGG_IND,AGG_IND,3,2
AGG_OIL,Oil,Nafta ili ulje,AGG_OIL,AGG_OIL,3,2
AGG_TXT,Textiles,Tekstil,AGG_TXT,AGG_TXT,3,2
MF1,Biomass,Biomasa,MF1,MF1,6,2
MF11,Crops,Usjevi,MF11,MF11,6,2
MF121,Crop residues,Ostaci usjeva,MF121,MF121,6,2
MF122,Grazed biomass and fodder crops,Stočna hrana i krmno bilje,MF122,MF122,6,2
MF13,Wood,Drvo,MF13,MF13,6,2
MF14,Wild catch and harvest,Divlji ulov i žetva,MF14,MF14,6,2
MF2,Metal ores,Metalne rude,MF2,MF2,6,2
MF21,Ferrous ores,Rude željeza,MF21,MF21,6,2
MF22,Non-ferrous ores,Rude obojenih metala,MF22,MF22,6,2
MF3,Non-metallic minerals,Nemetalni minerali,MF3,MF3,6,2
MF4,Fossil fuels,Fosilna goriva,MF4,MF4,6,2
MF41,Coal,Ugalj,MF41,MF41,6,2
MF421,Petroleum,Nafta,MF421,MF421,6,2
MF422,Natural gas,Prirodni gas,MF422,MF422,6,2
MF_AGG3A,Non-metallic minerals - construction dominant,Nemetalni minerali - dominantna gradnja,MF_AGG3A,MF_AGG3A,6,2
MF_AGG3B,Non-metallic minerals - industrial or agricultural dominant,Nemetalni minerali - dominantni u industriji ili poljoprivredi,MF_AGG3B,MF_AGG3B,6,2
