Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
AG_FPA_CFPI,Consumer Food Price Index,AG_FPA_CFPI,AG_FPA_CFPI,AG_FPA_CFPI,1,1
AG_LND_DGRD,Proportion of land that is degraded over total land area,AG_LND_DGRD,AG_LND_DGRD,AG_LND_DGRD,1,1
AG_LND_FRST,Forest area as a proportion of total land area,AG_LND_FRST,AG_LND_FRST,AG_LND_FRST,1,1
AG_LND_FRSTBIOPHA,Above-ground biomass in forest per hectare (tonnes per hectare),AG_LND_FRSTBIOPHA,AG_LND_FRSTBIOPHA,AG_LND_FRSTBIOPHA,1,1
AG_LND_FRSTCERT,Forest area certified under an independently verified certification scheme (hectares),AG_LND_FRSTCERT,AG_LND_FRSTCERT,AG_LND_FRSTCERT,1,1
AG_LND_FRSTCHG,Forest area net change rate (%),AG_LND_FRSTCHG,AG_LND_FRSTCHG,AG_LND_FRSTCHG,1,1
AG_LND_FRSTN,Forest area (hectares),AG_LND_FRSTN,AG_LND_FRSTN,AG_LND_FRSTN,1,1
AG_LND_TOTL,Land area (hectares),AG_LND_TOTL,AG_LND_TOTL,AG_LND_TOTL,1,1
AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population,AG_PRD_FIESMS,AG_PRD_FIESMS,AG_PRD_FIESMS,3,1
AG_PRD_FIESMSN,Population in moderate or severe food insecurity (number),AG_PRD_FIESMSN,AG_PRD_FIESMSN,AG_PRD_FIESMSN,3,1
AG_PRD_FIESS,Prevalence of severe food insecurity in the population,AG_PRD_FIESS,AG_PRD_FIESS,AG_PRD_FIESS,3,1
AG_PRD_FIESSN,Population in severe food insecurity (number),AG_PRD_FIESSN,AG_PRD_FIESSN,AG_PRD_FIESSN,3,1
BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP,BX_TRF_PWKR,BX_TRF_PWKR,BX_TRF_PWKR,1,1
DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation,DC_FTA_TOTAL,DC_FTA_TOTAL,DC_FTA_TOTAL,1,1
DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries",DC_ODA_BDVL,DC_ODA_BDVL,DC_ODA_BDVL,2,2
DC_ODA_POVLG,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI)",DC_ODA_POVLG,DC_ODA_POVLG,DC_ODA_POVLG,1,1
DC_TOF_AGRL,"Total official flows (disbursements) for agriculture, by recipient countries",DC_TOF_AGRL,DC_TOF_AGRL,DC_TOF_AGRL,1,1
DC_TOF_HLTHL,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries",DC_TOF_HLTHL,DC_TOF_HLTHL,DC_TOF_HLTHL,1,1
DC_TOF_INFRAL,"Total official flows for infrastructure, by recipient countries",DC_TOF_INFRAL,DC_TOF_INFRAL,DC_TOF_INFRAL,1,1
DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries",DC_TOF_SCHIPSL,DC_TOF_SCHIPSL,DC_TOF_SCHIPSL,1,1
DC_TOF_TRDCML,"Total official flows (commitments) for Aid for Trade, by recipient countries",DC_TOF_TRDCML,DC_TOF_TRDCML,DC_TOF_TRDCML,1,1
DC_TOF_TRDDBML,"Total official flows (disbursement) for Aid for Trade, by recipient countries",DC_TOF_TRDDBML,DC_TOF_TRDDBML,DC_TOF_TRDDBML,1,1
DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",DC_TOF_WASHL,DC_TOF_WASHL,DC_TOF_WASHL,1,1
DC_TRF_TOTL,"Total assistance for development, by recipient countries",DC_TRF_TOTL,DC_TRF_TOTL,DC_TRF_TOTL,1,1
