Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
BOOL,Boolean or binary measure,Logička ili binarna mjera,BOOL,BOOL,2,1
CON_USD,Constant USD,konstantni američki dolari,CON_USD,CON_USD,7,6
CUR_LCU_M,CUR_LCU_M,Lokalna valuta (milioni),CUR_LCU_M,CUR_LCU_M,1,1
GPERM3,Micrograms per cubic meter,Mikrogrami po kubnom metru,GPERM3,GPERM3,2,1
HA_TH,HA_TH,Hiljade hektara,HA_TH,HA_TH,4,2
IX,Index,Index,IX,IX,4,4
KG,Kilograms,Kilogrami,KG,KG,4,2
KG_PER_CON_USD,Kilograms per constant USD,Kilogrami po konstanti američkog dolara,KG_PER_CON_USD,KG_PER_CON_USD,37,4
KM2,Square kilometers,Kvadratnih kilometara,KM2,KM2,4,2
LITRES,LITRES,Litri,LITRES,LITRES,3,1
MILLIONS,MILLIONS,Milioni,MILLIONS,MILLIONS,1,1
MJ_PER_GDP_CON_PPP_USD,Megajoules per USD constant PPP GDP,Megadžula po konstantni američkog dolara PPP BDP,MJ_PER_GDP_CON_PPP_USD,MJ_PER_GDP_CON_PPP_USD,1,1
NUMBER,Number,Broj,NUMBER,NUMBER,108,28
P_KM,Passenger kilometres,Putnički kilometri,P_KM,P_KM,2,1
PER_1000000_POP,Per million population,Na milion stanovnika,PER_1000000_POP,PER_1000000_POP,1,1
PER_100000_LIVE_BIRTHS,"Per 100,000 live births",Na 100 000 živorođenih,PER_100000_LIVE_BIRTHS,PER_100000_LIVE_BIRTHS,1,1
PER_100000_POP,"Per 100,000 population",Na 100 000 stanovnika,PER_100000_POP,PER_100000_POP,17,7
PER_10000_POP,"Per 10,000 population",Na 10 000 stanovnika,PER_10000_POP,PER_10000_POP,4,1
PER_1000_LIVE_BIRTHS,"Per 1,000 live births",Na 1 000 živorođenih,PER_1000_LIVE_BIRTHS,PER_1000_LIVE_BIRTHS,7,2
PER_1000_POP,"Per 1,000 population",Na 1 000 stanovnika,PER_1000_POP,PER_1000_POP,1,1
PER_1000_UNINFECTED_POP,"Per 1,000 uninfected population",Na 1 000 nezaraženog stanovništva,PER_1000_UNINFECTED_POP,PER_1000_UNINFECTED_POP,9,1
PER_100_POP,Per 100 population,Na 100 stanovnika,PER_100_POP,PER_100_POP,5,2
PT,Percent,Procenat,PT,PT,352,86
RO,Ratio,Odnos,RO,RO,111,2
SCORE,Score,Rezultat,SCORE,SCORE,2,2
T_KM,Tonne kilometres,Tonski kilometri,T_KM,T_KM,3,1
THOUSANDS,THOUSANDS,Hiljade,THOUSANDS,THOUSANDS,9,3
TONNES,TONNES,Tone,TONNES,TONNES,72,4
TONNES_M,TONNES_M,Milioni tona,TONNES_M,TONNES_M,1,1
USD,USD,Američki dolar,USD,USD,7,7
